url,firmname
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(江苏澳洋顺昌股份有限公司)&type=14&s=0&law=2&v=l&page=,江苏澳洋顺昌股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江帝龙新材料股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江帝龙新材料股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(威海华东数控股份有限公司)&type=14&s=0&law=2&v=l&page=,威海华东数控股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(中山大洋电机股份有限公司)&type=14&s=0&law=2&v=l&page=,中山大洋电机股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(联化科技股份有限公司)&type=14&s=0&law=2&v=l&page=,联化科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(苏州海陆重工股份有限公司)&type=14&s=0&law=2&v=l&page=,苏州海陆重工股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东伊立浦电器股份有限公司)&type=14&s=0&law=2&v=l&page=,广东伊立浦电器股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(陕西省天然气股份有限公司)&type=14&s=0&law=2&v=l&page=,陕西省天然气股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(成都卫士通信息产业股份有限公司)&type=14&s=0&law=2&v=l&page=,成都卫士通信息产业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(上海美特斯邦威服饰股份有限公司)&type=14&s=0&law=2&v=l&page=,上海美特斯邦威服饰股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东法因数控机械股份有限公司)&type=14&s=0&law=2&v=l&page=,山东法因数控机械股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(四川川润股份有限公司)&type=14&s=0&law=2&v=l&page=,四川川润股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(上海神开石油化工装备股份有限公司)&type=14&s=0&law=2&v=l&page=,上海神开石油化工装备股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(武汉光迅科技股份有限公司)&type=14&s=0&law=2&v=l&page=,武汉光迅科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(博深工具股份有限公司)&type=14&s=0&law=2&v=l&page=,博深工具股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(天润曲轴股份有限公司)&type=14&s=0&law=2&v=l&page=,天润曲轴股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江亚太机电股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江亚太机电股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(西藏奇正藏药股份有限公司)&type=14&s=0&law=2&v=l&page=,西藏奇正藏药股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东超华科技股份有限公司)&type=14&s=0&law=2&v=l&page=,广东超华科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东奥飞动漫文化股份有限公司)&type=14&s=0&law=2&v=l&page=,广东奥飞动漫文化股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(罗莱家纺股份有限公司)&type=14&s=0&law=2&v=l&page=,罗莱家纺股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳信立泰药业股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳信立泰药业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(河南辉煌科技股份有限公司)&type=14&s=0&law=2&v=l&page=,河南辉煌科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(湖南博云新材料股份有限公司)&type=14&s=0&law=2&v=l&page=,湖南博云新材料股份有限公司
