YEAR,SOUTHAFRICA,KOREA,DENMARK,CANADA,FINLAND,NETHERLANDS,MEXICO,ITALY,IRELAND,SWITZERLAND,GREECE
1986-Q2,-2.595304286,3.54483675,-3.613572683,-0.7996904,-0.629960405,1.532661779,-16.89743987,-0.362863062,-1.41631725,0.499503907,-1.66250739
1986-Q3,-4.200967766,4.37833281,-0.134849337,-0.66547123,3.687798317,1.050584383,-21.51735491,0.415032621,0.191945587,0.560403631,-3.483609722
1986-Q4,-3.686077265,2.055996574,-0.637632677,-0.866495785,-2.302725525,-1.910398722,-21.08614576,-0.790238157,0.750976382,-0.596345607,-3.165532874
1987-Q1,-3.089510893,1.919294171,-2.043107649,-1.67184157,-0.702225245,1.50341739,-23.75325818,-0.981537029,-0.40061152,-0.480197045,-7.536789371
1987-Q2,-3.442416608,2.981632313,1.373893604,0.918449937,0.667900458,1.339141499,-22.08342414,0.344083372,0.951062981,0.284164485,-7.523235883
1987-Q3,-2.940857124,0.062558696,-1.98474426,0.174816128,-0.166217554,0.877410094,-24.78969582,-0.788342444,1.020246533,0.953373685,-0.140709069
1987-Q4,-2.200939429,0.699600822,-0.603289993,0.834610136,1.418698099,0.479289625,-26.91545159,-0.542000264,1.352371488,-0.405423462,0.494586199
1988-Q1,-0.927996227,4.508117471,-0.250555988,0.480055879,-0.286792934,0.665525706,-39.57842053,0.228991553,0.585287839,0.38103466,0.706899268
1988-Q2,-2.310441224,-3.935633846,-1.385761436,0.182654047,-1.103288948,0.124074081,-11.78144774,-0.400403188,0.607069244,0.313739636,-8.245791189
1988-Q3,-1.691730215,2.757486134,-2.389491905,-0.22123106,0.162153283,0.384611015,-4.406178942,0.364839197,0.190359008,0.829164,-1.117415589
1988-Q4,-2.414678537,1.650605597,1.223443883,-0.784481927,0.850722889,0.531923625,-1.080092092,-0.611292921,0.413487075,0.418778792,-3.628107934
1989-Q1,-2.920507009,-1.540915522,-0.178600524,-0.537504389,-0.81356401,2.179107661,-3.774602501,-1.299741696,-0.116260346,-0.109528326,2.218814742
1989-Q2,-3.744680512,-0.548044078,-3.681170563,-0.59235113,-0.724560331,0.413578298,-4.006840658,-1.198628734,0.548609149,0.292678249,-5.163728984
1989-Q3,-3.383647707,2.100855774,-2.036967147,-1.054913206,0.148440185,0.28342647,-1.388763631,0.150853548,0.733132157,0.767955935,-3.792522003
1989-Q4,-3.702532441,2.301386243,0.351826026,-0.333925555,-1.275359424,0.280167338,-5.456439086,-0.702920799,1.787078387,-0.49836549,-1.520937582
1990-Q1,-3.50969259,-0.806473337,-0.347838792,-1.651882821,-1.416026785,0.959607421,-7.74729654,-1.651417746,1.62529,-0.067003053,-2.592754786
1990-Q2,-3.217835531,-2.414696856,1.457019333,0.031600522,-2.213996045,0.023111917,-3.274490274,-0.9550049,1.761955917,-0.531097951,-9.91332895
1990-Q3,-3.284042,1.937465252,-0.372971343,-1.511263618,-2.46598088,0.522802882,-4.2162065,-1.184644913,0.368341937,-1.32545701,-10.61115774
1990-Q4,-3.860673372,0.762188321,-2.059588283,-2.107040799,-1.795390477,-0.039799821,-4.630979542,-2.540758519,-0.132977158,-2.247679973,3.85873446
1991-Q1,-4.225698913,-0.015517571,0.295591,-3.801302454,-3.991883679,-0.657310379,-7.045298333,0.247732792,-0.754144868,-1.884967319,-2.105988031
1991-Q2,-3.974747774,-0.947198065,0.143365431,-2.192515437,-2.128552176,0.38383266,-2.087453642,-1.987701948,-0.75030586,-1.912252783,-7.602952712
1991-Q3,-3.65240657,0.711853519,0.378213202,-0.097763988,-1.751440651,-1.122578467,-2.543497102,-1.131740745,-0.954441879,-1.269601012,-0.464698587
1991-Q4,-4.598624356,1.158784128,-1.788036405,0.259136589,-2.075860263,0.146564214,-2.77076926,-0.229972216,0.182773344,-1.04854578,-6.678707653
1992-Q1,-3.912051789,0.175126403,1.241932145,-0.267265181,-0.853394363,0.389834046,-5.428431579,-1.238282545,0.233031338,-0.44535705,-0.442125468
1992-Q2,-3.600305172,-1.331456319,-1.910915583,-0.432162564,-1.58688815,-1.869534342,-1.010642458,-1.239063182,0.325039841,-1.187713585,-6.61901076
1992-Q3,-3.997615154,-0.978173782,2.751951176,-0.296813909,-1.29340659,-0.292149071,-1.086609031,-1.00073225,0.307618372,-0.907262327,0.011137991
1992-Q4,-2.201065351,1.628908483,-0.676392801,0.1227025,-1.096610158,-0.184917465,-2.473294324,-1.878014281,0.43284736,-1.710699256,-7.16715868
1993-Q1,-1.027141478,0.33592818,-1.240273071,-0.158217511,-1.302513801,0.243589078,-3.386826436,-1.314208025,0.133302542,-1.26613915,-5.36064828
1993-Q2,-3.055588961,0.634245621,-1.119401353,0.456812413,-0.712387747,-0.553813428,-1.336034429,-1.4604122,0.713774617,-0.304338914,-2.725797891
1993-Q3,-0.2535459,0.896511478,-0.02895705,0.49971587,1.587573375,-0.194701522,-0.567822219,-1.075403293,-0.294836313,-0.01958831,0.355787983
1993-Q4,-0.655496013,1.124787116,1.60528693,0.470024703,0.375273188,-1.106118633,-0.689641743,-0.289886903,0.729813695,0.50174074,-4.432906521
1994-Q1,-2.261136068,0.183300087,0.913327989,0.938077016,1.008906,0.862090912,-0.771060668,-0.53228318,0.717273837,0.115936019,-2.323054467
1994-Q2,-0.678628477,0.381767686,2.042848572,1.82887439,-0.130452641,0.399859632,0.211626709,0.057157467,0.920171482,-0.294613123,-2.825033634
1994-Q3,-2.443032971,-0.405411031,-0.774332099,0.927385344,1.367403463,0.013233554,-0.556215345,-0.148944793,1.386037406,0.586280897,1.610203199
1994-Q4,-0.348598535,4.203747242,1.937943471,0.946203403,1.217456061,0.414511132,-0.548602812,-0.183418179,2.443780425,-0.024127105,-4.36820844
