"","city1_2","flight","plane","flag"
"3799","兰州天津","CA1246","738",50
"3800","兰州天津","3U8568","320",50
"3801","兰州天水","JR1522","MA6",19180
"3802","兰州乌鲁木齐","CZ6936","752",11957
"3803","兰州武汉","CZ3664","321",2319
"3804","兰州武汉","MF8254","73G",2319
"3805","兰州武汉","MU2473","738",2319
"3806","兰州武汉","CZ3664","321",2319
"3807","兰州武汉","HU6037/8","737",2319
"3808","兰州西安","HU7139","734",10399
"3809","兰州西安","HU7851","738",10399
"3810","兰州西安","MU2322","320",10399
"3811","兰州西安","MU2305","320",10399
"3812","兰州西安","MU2960","319",10399
"3813","兰州西安","MU2896","320",10399
"3814","兰州西安","MU2325","320",10399
"3815","兰州西安","MU2956","320",10399
"3816","兰州西安","HU7895","738",10399
"3817","兰州西安","CZ3276","738",10399
"3818","兰州西安","HU7643","734",10399
"3819","兰州西安","ZH9554","738",10399
"3820","兰州西安","ZH9514","738",10399
"3821","兰州西安","CZ3220","319",10399
"3822","兰州西安","ZH9296","738",10399
"3823","兰州西安","CZ3276","738",10399
"3824","兰州宜宾","G52684","CR2",23034
"3825","兰州宜昌","FU6582","738",25445
"3826","兰州银川","GS6676","EMB",9606
"3827","兰州银川","GS7826","E90",9606
"3828","兰州张家界","CZ3246","320",10727
"3829","兰州长沙","MU2399","320",2865
"3830","兰州长沙","MU2197","320",2865
"3831","兰州长沙","MF8216","738",2865
"3832","兰州长沙","HU7865","738",2865
"3833","兰州长沙","ZH9978","320",2865
"3834","兰州郑州","HU7395","738",10308
"3835","兰州郑州","DZ6245","738",10308
"3836","兰州郑州","SC4780","738",10308
"3837","兰州郑州","MF8220","73G",10308
"3838","兰州郑州","MF8210","73G",10308
"3839","兰州郑州","MU2195","320",10308
"3840","兰州郑州","MU2195","320",10308
"3841","兰州重庆","CZ6726","320",9
"3842","兰州重庆","3U8514","319",9
"3843","兰州重庆","3U8852","320",9
"3844","兰州重庆","HU7683","738",9
"3845","兰州重庆","HU7249","738",9
"3846","兰州重庆","CZ6726","320",9
"3847","兰州重庆","SC4730","738",9
"3848","兰州重庆","CZ6726","320",9
"3849","兰州遵义","GX8808","E90",23037
"3850","黎平贵阳","G52606","CR9",12341
"3851","黎平贵阳","G52606","CR9",12341
"3852","黎平长沙","BK2720","MA6",22052
"3853","丽江安顺","GJ8870","320",21663
"3854","丽江北海","HO1260","320",24314
"3855","丽江毕节","GJ8770","320",21703
"3856","丽江毕节","GJ8770","320",21703
"3857","丽江成都","EU2738","319",3111
"3858","丽江成都","3U8692","319",3111
"3859","丽江成都","EU2738","319",3111
"3860","丽江成都","3U8692","319",3111
"3861","丽江成都","8L9626","73G",3111
"3862","丽江成都","KY8293","73G",3111
"3863","丽江成都","CA4452","320",3111
"3864","丽江成都","JD5136","319",3111
"3865","丽江广州","HO1077","320",7281
"3866","丽江广州","JD5632","319",7281
"3867","丽江广州","JD5132","319",7281
"3868","丽江广州","MU5733","73G",7281
"3869","丽江贵阳","MF8228","73G",11264
"3870","丽江贵阳","JD5127","319",11264
"3871","丽江贵阳","8L9837","73G",11264
"3872","丽江贵阳","JD5549","319",11264
"3873","丽江贵阳","CA1418","73G",11264
"3874","丽江贵阳","HO1662","320",11264
"3875","丽江贵阳","HO1056","320",11264
"3876","丽江贵阳","JD5137","319",11264
"3877","丽江贵阳","MF8228","73G",11264
"3878","丽江贵阳","MF8228","73G",11264
"3879","丽江贵阳","EU2245","319",11264
"3880","丽江杭州","JD5192","319",12974
"3881","丽江杭州","3U8386","320",12974
"3882","丽江杭州","CA1916","319",12974
"3883","丽江济南","JD5237","319",25477
"3884","丽江昆明","JD5155","319",9424
"3885","丽江昆明","MU5928","73G",9424
"3886","丽江昆明","MU5719","73G",9424
"3887","丽江昆明","JD5166","319",9424
"3888","丽江昆明","MU5928","73G",9424
"3889","丽江昆明","8L9802","73G",9424
"3890","丽江昆明","CZ3452","319",9424
"3891","丽江昆明","8L9804","73G",9424
"3892","丽江昆明","3U8404","319",9424
"3893","丽江昆明","MU5922","73G",9424
"3894","丽江昆明","MU5719","73G",9424
"3895","丽江昆明","8L9806","73G",9424
"3896","丽江昆明","MU2720","319",9424
"3897","丽江昆明","KY8232","73G",9424
"3898","丽江昆明","CZ3488","319",9424
"3899","丽江昆明","MU2720","319",9424
"3900","丽江昆明","DR6524","73G",9424
"3901","丽江昆明","MU2720","319",9424
"3902","丽江昆明","MU9705","737",9424
"3903","丽江泸州","8L9653","73G",23039
"3904","丽江绵阳","8L9815","73G",23040
"3905","丽江绵阳","HO1674","320",23040
"3906","丽江绵阳","8L9815","73G",23040
"3907","丽江绵阳","8L9815","73G",23040
"3908","丽江绵阳","3U8533","319",23040
"3909","丽江南昌","3U8577","319",22859
"3910","丽江南京","JD5249","319",20754
"3911","丽江南京","8L9835","73G",20754
"3912","丽江南宁","JD5749","319",25472
"3913","丽江普洱","8L9821","73G",23805
"3914","丽江深圳","3U8013","320",4160
"3915","丽江深圳","CZ8548","320",4160
"3916","丽江深圳","ZH9766","320",4160
"3917","丽江深圳","ZH9982","319",4160
"3918","丽江深圳","3U8013","320",4160
"3919","丽江深圳","ZH9766","320",4160
"3920","丽江石家庄","JD5657","319",23048
"3921","丽江石家庄","JD5535","319",23048
"3922","丽江石家庄","JD5657","319",23048
"3923","丽江天津","JD5739","319",23052
"3924","丽江武汉","HO1074","320",20767
"3925","丽江武汉","JD5620","319",20767
"3926","丽江武汉","8L9823","73G",20767
"3927","丽江西安","8L9839","73G",8551
"3928","丽江西安","JD5522","319",8551
"3929","丽江西双版纳","JD5391","319",21520
"3930","丽江西双版纳","DR6551","73G",21520
"3931","丽江西双版纳","8L9926","73G",21520
"3932","丽江西双版纳","MU5997","73G",21520
"3933","丽江西双版纳","KY8270","73G",21520
"3934","丽江西双版纳","MU5993","73G",21520
"3935","丽江西双版纳","JD5381","319",21520
"3936","丽江西双版纳","MU5992","73G",21520
"3937","丽江西双版纳","JD5391","319",21520
"3938","丽江西双版纳","MU5993","73G",21520
"3939","丽江西双版纳","KY8250","73G",21520
"3940","丽江西双版纳","8L9928","73G",21520
"3941","丽江兴义","8L9825","73G",19262
"3942","丽江兴义","8L9825","73G",19262
"3943","丽江宜宾","3U8538","319",19185
"3944","丽江长沙","HO1072","320",7583
"3945","丽江长沙","MU2966","320",7583
"3946","丽江长沙","MF8266","73G",7583
"3947","丽江长沙","MF8266","73G",7583
"3948","丽江长沙","JD5189","319",7583
"3949","丽江长沙","JD5289","319",7583
"3950","丽江郑州","JD5645","319",12347
"3951","丽江郑州","8L9819","73G",12347
"3952","丽江郑州","EU2239","319",12347
"3953","丽江郑州","8L9655","73G",12347
"3954","丽江郑州","JD5745","319",12347
"3955","丽江重庆","OQ2388","320",7875
"3956","丽江重庆","CZ6292","319",7875
"3957","丽江重庆","CA4596","737",7875
"3958","丽江重庆","3U8410","319",7875
"3959","丽江重庆","8L9817","73G",7875
"3960","丽江重庆","CZ6292","319",7875
"3961","丽江重庆","3U8680","320",7875
"3962","丽江重庆","PN6240","319",7875
"3963","丽江遵义","GJ8812","320",24132
"3964","连城桂林","3U8428","320",22978
"3965","连云港广州","CZ3258","319",1301
"3966","连云港兰州","UQ2536","738",23011
"3967","连云港西安","MU2234","320",13323
"3968","连云港舟山","CZ6702","320",20393
"3969","林芝成都","TV9831","319",13286
"3970","林芝成都","3U8694","319",13286
"3971","林芝成都","CA4432","330",13286
"3972","林芝成都","CA4432","319",13286
"3973","林芝成都","CA4252","330",13286
"3974","林芝昆明","TV9904","319",17958
"3975","林芝拉萨","TV9834","319",19186
"3976","林芝重庆","TV9836","319",24570
"3977","临沧昆明","MU5958","73G",46
"3978","临沧昆明","KY8256","737",46
"3979","临沧昆明","MU5968","73G",46
"3980","临沧昆明","MU5964","73G",46
"3981","临沧昆明","MU5960","73G",46
"3982","临沧昆明","MU5968","73G",46
"3983","临汾广州","CZ3200","319",24382
"3984","临沂海口","JD5782","319",22457
"3985","临沂杭州","MU2668","320",18103
"3986","临沂西安","3U8556","319",8623
"3987","临沂长沙","GX8802","E90",19709
"3988","柳州郑州","MU5380","320",24455
"3989","柳州郑州","MU5380","320",24455
"3990","六盘水广州","HU7298","737",21784
"3991","六盘水杭州","GJ8828","320",22582
"3992","六盘水西安","GS6440","E90",25494
"3993","泸州稻城","MU2428","319",23655
"3994","泸州广州","CA4351","737",1332
"3995","泸州广州","CA4339","733",1332
"3996","泸州广州","CA4351","737",1332
"3997","泸州贵阳","G52622","CR9",18597
"3998","泸州贵阳","G52622","CR9",18597
"3999","泸州深圳","CZ6248","320",8387
"4000","泸州深圳","CZ6390","320",8387
"4001","泸州长沙","MF8480","73G",24608
"4002","洛阳广州","CZ3364","319",7684
"4003","洛阳杭州","GJ8682","320",20273
"4004","吕梁西安","MU2260","319",20776
"4005","满洲里哈尔滨","3U8860","321",18729
"4006","满洲里哈尔滨","3U8860","321",18729
"4007","满洲里哈尔滨","3U8860","321",18729
"4008","满洲里呼和浩特","GS6636","E90",17027
"4009","满洲里呼和浩特","NS3246","E90",17027
"4010","满洲里呼和浩特","G52770","CR9",17027
"4011","满洲里呼和浩特","NS3246","738",17027
"4012","满洲里呼和浩特","G52656","CR9",17027
"4013","满洲里呼和浩特","NS3246","738",17027
"4014","满洲里呼和浩特","GS6638","E90",17027
"4015","满洲里石家庄","9C8688","320",23249
"4016","满洲里通辽","GS7834","EMB",19208
"4017","满洲里通辽","G52730","CR9",19208
"4018","梅州广州","CZ3340","319",21363
"4019","梅州广州","CZ3338","319",21363
"4020","梅州广州","CZ3334","319",21363
"4021","梅州深圳","CZ3371","E90",23813
"4022","梅州长沙","CZ6566","738",22069
"4023","梅州郑州","GS7842","E90",24460
"4024","梅州珠海","CZ3373","319",23814
"4025","绵阳广州","CZ3400","319",3265
"4026","绵阳广州","CZ3400","319",3265
"4027","绵阳宁波","MU5440","320",25563
"4028","绵阳青岛","SC4886","738",25559
"4029","绵阳深圳","ZH9912","738",10692
"4030","绵阳深圳","ZH9872","738",10692
"4031","绵阳深圳","ZH9912","738",10692
"4032","绵阳沈阳","EU2265","319",11795
"4033","绵阳石家庄","9C8604","320",10191
"4034","绵阳武汉","MF8414","738",23148
"4035","绵阳西安","NS3284","E90",10966
"4036","绵阳长沙","MF8440","738",17408
"4037","绵阳郑州","3U8584","320",24442
"4038","绵阳重庆","OQ2391","319",18972
"4039","漠河哈尔滨","CZ6280","320",18775
"4040","漠河哈尔滨","CZ6280","320",18775
"4041","漠河哈尔滨","CZ6280","320",18775
"4042","漠河黑河","BK2752","MA6",23695
"4043","漠河加格达奇","BK2782","MA6",21513
"4044","牡丹江大连","CZ6834","319",5829
"4045","牡丹江大连","SC4742","738",5829
"4046","牡丹江青岛","MU5522","320",9192
"4047","牡丹江烟台","MU5676","320",18804
"4048","南昌成都","CA4508","321",5698
"4049","南昌成都","CA4508","321",5698
"4050","南昌成都","ZH9379","738",5698
"4051","南昌成都","ZH9379","738",5698
"4052","南昌成都","CA4508","321",5698
"4053","南昌成都","KY8306","73G",5698
"4054","南昌成都","KY8306","73G",5698
"4055","南昌大连","RY8927","738",18830
"4056","南昌赣州","GX8896","E90",16910
"4057","南昌赣州","GX8806","E90",16910
"4058","南昌广州","CZ3540","319",3237
"4059","南昌广州","CZ3626","319",3237
