"","flight","plane","city1","city2","city3","city4","city5","city1_2"
"502","NS3246","738","满洲里","呼和浩特","石家庄",NA,NA,"满洲里呼和浩特"
"505","NS3299","738","石家庄","长沙","海口",NA,NA,"石家庄长沙"
"506","NS3300","738","海口","长沙","石家庄",NA,NA,"海口长沙"
"507","NS3301","738","石家庄","桂林","三亚",NA,NA,"石家庄桂林"
"508","NS3301","738","石家庄","桂林","三亚",NA,NA,"石家庄桂林"
"509","NS3302","738","三亚","桂林","石家庄",NA,NA,"三亚桂林"
"516","CA1417","73G","天津","贵阳","丽江",NA,NA,"天津贵阳"
"517","CA1418","73G","丽江","贵阳","天津",NA,NA,"丽江贵阳"
"524","NS3227","73G","石家庄","南宁","海口",NA,NA,"石家庄南宁"
"525","NS3228","73G","海口","南宁","石家庄",NA,NA,"海口南宁"
"543","G52669","CR9","天津","固原","银川",NA,NA,"天津固原"
"544","G52670","CR9","银川","固原","天津",NA,NA,"银川固原"
"547","G52717","CR9","呼和浩特","阿尔山","哈尔滨",NA,NA,"呼和浩特阿尔山"
"548","G52718","CR9","哈尔滨","阿尔山","呼和浩特",NA,NA,"哈尔滨阿尔山"
"549","G52719","CR9","呼和浩特","锡林浩特","哈尔滨",NA,NA,"呼和浩特锡林浩特"
"550","G52720","CR9","哈尔滨","锡林浩特","呼和浩特",NA,NA,"哈尔滨锡林浩特"
"551","G52729","CR9","呼和浩特","通辽","满洲里",NA,NA,"呼和浩特通辽"
"552","G52730","CR9","满洲里","通辽","呼和浩特",NA,NA,"满洲里通辽"
"553","G52733","CR9","呼和浩特","乌兰浩特","沈阳",NA,NA,"呼和浩特乌兰浩特"
"554","G52733","CR9","呼和浩特","乌兰浩特","沈阳",NA,NA,"呼和浩特乌兰浩特"
"555","G52733","CR9","呼和浩特","乌兰浩特","沈阳",NA,NA,"呼和浩特乌兰浩特"
"556","G52734","CR9","沈阳","乌兰浩特","呼和浩特",NA,NA,"沈阳乌兰浩特"
"557","G52734","CR9","沈阳","乌兰浩特","呼和浩特",NA,NA,"沈阳乌兰浩特"
"558","G52734","CR9","沈阳","乌兰浩特","呼和浩特",NA,NA,"沈阳乌兰浩特"
"563","G52743","CR9","呼和浩特","乌兰浩特","阿尔山",NA,NA,"呼和浩特乌兰浩特"
"564","G52744","CR9","阿尔山","乌兰浩特","呼和浩特",NA,NA,"阿尔山乌兰浩特"
"569","G52753","CR9","呼和浩特","海拉尔","加格达奇",NA,NA,"呼和浩特海拉尔"
"570","G52754","CR9","加格达奇","海拉尔","呼和浩特",NA,NA,"加格达奇海拉尔"
"573","G52775","CR9","呼和浩特","阿尔山","乌兰浩特",NA,NA,"呼和浩特阿尔山"
"574","G52776","CR9","乌兰浩特","阿尔山","呼和浩特",NA,NA,"乌兰浩特阿尔山"
"575","G52793","CR9","呼和浩特","乌兰浩特","哈尔滨",NA,NA,"呼和浩特乌兰浩特"
"576","G52793","CR9","呼和浩特","乌兰浩特","哈尔滨",NA,NA,"呼和浩特乌兰浩特"
"577","G52794","CR9","哈尔滨","乌兰浩特","呼和浩特",NA,NA,"哈尔滨乌兰浩特"
"578","G52794","CR9","哈尔滨","乌兰浩特","呼和浩特",NA,NA,"哈尔滨乌兰浩特"
"592","GS6467","E90","贵阳","太原","呼和浩特",NA,NA,"贵阳太原"
"593","GS6468","E90","呼和浩特","太原","贵阳",NA,NA,"呼和浩特太原"
"594","GS6531","E90","海口","临汾","呼和浩特",NA,NA,"海口临汾"
"595","GS6532","E90","呼和浩特","临汾","海口",NA,NA,"呼和浩特临汾"
"596","GS6547","E90","海口","济宁","呼和浩特",NA,NA,"海口济宁"
"597","GS6548","E90","呼和浩特","济宁","海口",NA,NA,"呼和浩特济宁"
"598","GS6601","E90","呼和浩特","海拉尔","哈尔滨",NA,NA,"呼和浩特海拉尔"
