No,Treated,classify,持股集中度2013.6,持股集中度2013.12,持股集中度2014.6,持股集中度2014.12,持股集中度2015.6,持股集中度2015.12,持股集中度2016.6,持股集中度2016.12,持股集中度2017.6,持股集中度2017.12
205819000585,0,1,0.00%,99.49%,0.00%,83.49%,0.00%,20.44%,40.10%,100.00%,69.74%,35.03%
205819666777,0,1,0.00%,0.00%,0.00%,99.97%,99.49%,71.24%,98.96%,98.58%,94.50%,49.55%
208518000695,0,0,0.00%,0.00%,0.00%,40.30%,19.57%,50.58%,24.42%,44.67%,30.29%,27.47%
205818000939,0,0,0.00%,0.00%,99.98%,28.87%,0.81%,0.72%,0.00%,0.79%,1.75%,70.55%
205818936899,0,0,90.98%,91.19%,93.04%,92.33%,0.00%,0.51%,0.25%,0.00%,0.00%,47.80%
205819036317,0,0,0.00%,0.00%,0.00%,63.03%,69.78%,74.72%,62.72%,49.51%,36.79%,46.33%
207000012520,0,0,0.00%,0.00%,0.00%,60.90%,94.03%,92.42%,91.57%,90.99%,89.60%,86.67%
205819003223,0,0,91.45%,99.95%,7.73%,0.00%,0.00%,0.00%,99.88%,99.87%,99.84%,99.74%
208518000659,0,1,0.00%,0.00%,0.00%,16.26%,18.51%,13.32%,28.19%,52.50%,43.57%,27.15%
205818823578,0,1,0.00%,0.00%,0.00%,12.29%,20.80%,27.17%,18.21%,43.89%,7.92%,6.38%
205818191900,0,1,0.00%,0.00%,0.00%,23.53%,28.95%,30.15%,21.13%,23.00%,27.75%,19.52%
205819022807,0,1,0.00%,0.00%,0.00%,5.82%,26.45%,28.21%,17.01%,47.27%,9.75%,7.10%
208500000338,0,1,0.00%,0.00%,0.00%,75.81%,49.11%,27.65%,9.87%,20.39%,13.32%,36.62%
205819017667,0,1,0.00%,0.00%,0.00%,31.04%,62.41%,57.15%,57.19%,56.71%,59.05%,61.09%
205818977708,0,1,36.52%,11.97%,23.89%,45.66%,97.70%,0.00%,99.85%,53.54%,0.00%,0.00%
205818003968,0,1,30.96%,99.76%,98.87%,98.61%,0.00%,0.00%,0.00%,99.99%,98.34%,100.00%
205818003506,0,1,98.66%,98.64%,98.04%,0.00%,99.62%,99.06%,99.20%,91.71%,0.00%,0.00%
205819035812,0,0,0.00%,0.00%,99.82%,75.02%,31.29%,45.32%,46.86%,63.80%,99.99%,94.84%
205818929179,0,0,70.94%,0.00%,0.00%,36.07%,27.67%,69.27%,66.37%,79.39%,76.80%,81.05%
205818994478,0,0,99.45%,99.22%,97.61%,54.32%,60.28%,99.90%,70.55%,51.43%,0.00%,0.00%
205819033596,0,0,50.40%,99.56%,94.84%,0.00%,0.00%,56.53%,40.02%,98.13%,97.70%,97.41%
205818588172,0,0,99.84%,61.27%,71.70%,70.96%,99.73%,99.77%,99.91%,99.98%,0.00%,0.00%
205818228840,0,0,59.32%,63.58%,99.93%,99.74%,0.00%,0.00%,100.00%,98.15%,93.14%,87.37%
205819036126,0,1,0.00%,0.00%,18.32%,24.57%,28.59%,11.56%,7.52%,32.77%,8.72%,69.27%
205818955228,0,1,10.47%,15.68%,0.00%,0.00%,24.05%,26.52%,22.15%,33.33%,32.69%,25.35%
205819035240,0,1,0.00%,0.00%,32.53%,42.92%,14.82%,28.80%,33.69%,42.77%,34.78%,40.19%
