,flight,plane,city1,city2,city3,city4,city5,city1_2
165,CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
166,CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,呼和浩特北京首都
167,CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,呼和浩特北京首都
168,CA6005/6,738,包头,北京首都,包头,NA,NA,包头北京首都
169,CA6005/6,738,包头,北京首都,包头,NA,NA,包头北京首都
170,CA6005/6,738,包头,北京首都,包头,NA,NA,包头北京首都
171,CA6005/6,738,包头,北京首都,包头,NA,NA,包头北京首都
172,CA6007/8,738,北京首都,包头,北京首都,NA,NA,北京首都包头
173,CA6007/8,738,北京首都,包头,北京首都,NA,NA,北京首都包头
174,CA6007/8,738,北京首都,包头,北京首都,NA,NA,北京首都包头
175,CA7501/2,738,呼和浩特,长沙,呼和浩特,NA,NA,呼和浩特长沙
176,CA8239/40,738,呼和浩特,武汉,呼和浩特,NA,NA,呼和浩特武汉
177,FM9221/2,738,鄂尔多斯,西安,鄂尔多斯,NA,NA,鄂尔多斯西安
178,FM9287/8,738,天津,昆明,天津,NA,NA,天津昆明
204,HU7341/2,738,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
217,HU7863,738,太原,合肥,厦门,NA,NA,太原合肥
218,HU7864,738,厦门,合肥,太原,NA,NA,厦门合肥
219,HU7864,738,厦门,合肥,太原,NA,NA,厦门合肥
222,KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
223,KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
224,KN2261/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
225,KN2265/6,738,北京南苑,锡林浩特,北京南苑,NA,NA,北京南苑锡林浩特
226,KN2749/50,738,北京南苑,海拉尔,北京南苑,NA,NA,北京南苑海拉尔
227,KN2911/2,738,北京南苑,包头,北京南苑,NA,NA,北京南苑包头
228,KN2919/20,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
229,KN2941/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
234,MF8379/80,738,天津,深圳,天津,NA,NA,天津深圳
238,MU5293/4,738,太原,北京首都,太原,NA,NA,太原北京首都
246,NS3255/6,738,石家庄,呼和浩特,石家庄,NA,NA,石家庄呼和浩特
247,CA1319/20,73G,天津,深圳,天津,NA,NA,天津深圳
251,CA7503/4,73G,呼和浩特,长沙,呼和浩特,NA,NA,呼和浩特长沙
252,KN2289/90,73G,北京南苑,鄂尔多斯,北京南苑,NA,NA,北京南苑鄂尔多斯
253,KN2291/2,73G,北京南苑,海拉尔,北京南苑,NA,NA,北京南苑海拉尔
254,KN2923/4,73G,北京南苑,长治,北京南苑,NA,NA,北京南苑长治
255,KN2935/6,73G,北京南苑,满洲里,北京南苑,NA,NA,北京南苑满洲里
256,KN2937/8,73G,北京南苑,呼和浩特,北京南苑,NA,NA,北京南苑呼和浩特
257,KN2943/4,73G,北京南苑,长治,北京南苑,NA,NA,北京南苑长治
258,KN2945/6,73G,北京南苑,包头,北京南苑,NA,NA,北京南苑包头
263,MU2275,73G,太原,长沙,三亚,NA,NA,太原长沙
264,MU2276,73G,三亚,长沙,太原,NA,NA,三亚长沙
265,MU2276,73G,三亚,长沙,太原,NA,NA,三亚长沙
266,MU2293,73G,太原,长沙,海口,NA,NA,太原长沙
267,MU2363,73G,太原,武汉,深圳,NA,NA,太原武汉
268,MU2364,73G,深圳,武汉,太原,NA,NA,深圳武汉
269,MU2405,73G,石家庄,西安,库尔勒,NA,NA,石家庄西安
270,MU2405,73G,石家庄,西安,库尔勒,NA,NA,石家庄西安
271,MU2406,73G,库尔勒,西安,石家庄,NA,NA,库尔勒西安
275,MU5233/4,73G,太原,成都,太原,NA,NA,太原成都
276,MU5253,73G,太原,南京,福州,NA,NA,太原南京
277,MU5254,73G,福州,南京,太原,NA,NA,福州南京
279,MU5439/40,73G,石家庄,成都,石家庄,NA,NA,石家庄成都
281,GS6401/2,DON,天津,杭州,天津,NA,NA,天津杭州
282,GS6417/8,E90,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
289,GS6603/4,E90,天津,宁波,天津,NA,NA,天津宁波
290,GS6605/6,E90,天津,海拉尔,天津,NA,NA,天津海拉尔
293,GS6611/2,E90,天津,无锡,天津,NA,NA,天津无锡
294,GS6611/2,E90,天津,无锡,天津,NA,NA,天津无锡
295,GS6613/4,E90,天津,温州,天津,NA,NA,天津温州
296,GS6613/4,E90,天津,温州,天津,NA,NA,天津温州
297,GS6613/4,E90,天津,温州,天津,NA,NA,天津温州
298,GS6615/6,E90,天津,南京,天津,NA,NA,天津南京
306,GS6629/30,E90,天津,大连,天津,NA,NA,天津大连
307,GS6671/2,E90,天津,杭州,天津,NA,NA,天津杭州
315,GS7419/20,E90,天津,大连,天津,NA,NA,天津大连
316,GS7419/20,E90,天津,大连,天津,NA,NA,天津大连
317,GS7455/6,E90,天津,青岛,天津,NA,NA,天津青岛
318,GS7465,E90,天津,西安,贵阳,NA,NA,天津西安
319,GS7465,E90,天津,西安,贵阳,NA,NA,天津西安
320,GS7466,E90,贵阳,西安,天津,NA,NA,贵阳西安
326,GS7579/80,E90,天津,大连,天津,NA,NA,天津大连
327,VD8357/8,E90,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
328,GS6425/6,EMB,呼和浩特,鄂尔多斯,呼和浩特,NA,NA,呼和浩特鄂尔多斯
329,GS6427/8,EMB,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
334,GS6549/50,EMB,海拉尔,哈尔滨,海拉尔,NA,NA,海拉尔哈尔滨
336,GS6631/2,EMB,天津,大连,天津,NA,NA,天津大连
337,GS6651/2,EMB,天津,满洲里,天津,NA,NA,天津满洲里
338,GS6655/6,EMB,天津,黄山,天津,NA,NA,天津黄山
340,MU2537/8,EMB,厦门,邯郸,厦门,NA,NA,厦门邯郸
341,GS6433/4,ERJ,呼和浩特,二连浩特,呼和浩特,NA,NA,呼和浩特二连浩特
344,GS6479/80,ERJ,呼和浩特,乌海,呼和浩特,NA,NA,呼和浩特乌海
347,GS6487/8,ERJ,呼和浩特,乌兰浩特,呼和浩特,NA,NA,呼和浩特乌兰浩特
348,GS6491/2,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
349,GS6491/2,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
350,GS6493/4,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
354,GS6539/40,ERJ,呼和浩特,通辽,呼和浩特,NA,NA,呼和浩特通辽
355,GS6539/40,ERJ,呼和浩特,通辽,呼和浩特,NA,NA,呼和浩特通辽
356,GS6547/8,ERJ,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
357,GS6551/2,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
358,GS6553/4,ERJ,呼和浩特,乌兰浩特,呼和浩特,NA,NA,呼和浩特乌兰浩特
359,GS6577/8,ERJ,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
364,GS6601/2,ERJ,天津,太原,天津,NA,NA,天津太原
369,GS7413/4,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
370,GS7421/2,ERJ,天津,烟台,天津,NA,NA,天津烟台
377,GS7497/8,ERJ,天津,青岛,天津,NA,NA,天津青岛
379,MU2735/6,ERJ,太原,大同,太原,NA,NA,太原大同
380,MU2743/4,ERJ,运城,太原,运城,NA,NA,运城太原
381,MU2745/6,ERJ,太原,长治,太原,NA,NA,太原长治
384,MU3193,ERJ,鄂尔多斯,呼和浩特,锡林浩特,NA,NA,鄂尔多斯呼和浩特
385,MU3194,ERJ,锡林浩特,呼和浩特,鄂尔多斯,NA,NA,锡林浩特呼和浩特
386,MU3407/8,ERJ,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
393,NS3235/6,ERJ,石家庄,唐山,石家庄,NA,NA,石家庄唐山
394,BK2861/2,MA6,天津,烟台,天津,NA,NA,天津烟台
395,JR1517,MA6,太原,榆林,银川,NA,NA,太原榆林
396,JR1518,MA6,银川,榆林,太原,NA,NA,银川榆林
397,JR1531/2,MA6,太原,郑州,太原,NA,NA,太原郑州
398,JR1531/2,MA6,太原,郑州,太原,NA,NA,太原郑州
399,JR1545/6,MA6,太原,运城,太原,NA,NA,太原运城
400,CA1733/4,319,杭州,深圳,杭州,NA,NA,杭州深圳
401,CA1735/6,319,杭州,深圳,杭州,NA,NA,杭州深圳
