,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
91,BK2847/8,735,天津,合肥,昆明,合肥,天津,"或738执行_x000D_
执行日期：0327-1029_x000D_
取消：0830-1029",2,.2...6.
92,BK2847/8,735,天津,合肥,昆明,合肥,天津,或738执行,5,1.345.7
93,CA1125/6,737,北京首都,呼和浩特,北京首都,NA,NA,NA,7,1234567
94,HU7667/8,737,太原,北京首都,太原,NA,NA,执行日期：0901-1029,1,.2.....
95,MU2133/4,737,太原,北京首都,太原,NA,NA,执行日期：0909-1029,2,....5.7
100,MU5651/2,737,太原,无锡,厦门,无锡,太原,执行日期：0809-0930,3,.2.4.6.
101,ZH9819/20,737,石家庄,包头,石家庄,NA,NA,NA,4,1.3.5.7
102,BK2801/2,738,天津,威海,天津,NA,NA,执行日期：0720-1029,3,..3.5.7
103,BK2803/4,738,天津,成都,天津,NA,NA,执行日期：0901-1029,3,..3.5.7
104,BK2813/4,738,天津,张家界,天津,NA,NA,NA,7,1234567
105,BK2815/6,738,天津,延吉,天津,NA,NA,"执行日期0701-0831执行_x000D_
取消：0707-0831",7,1234567
106,BK2817/8,738,天津,海拉尔,天津,NA,NA,执行日期：0701-1029,4,1.3.5.7
107,BK2819/20,738,天津,桂林,天津,NA,NA,NA,7,1234567
108,BK2823/4,738,天津,西安,南宁,西安,天津,执行日期：3月27-4月30；执行日期：5月1-10月29,7,1234567
109,BK2831/2,738,天津,珠海,三亚,珠海,天津,"执行日期：5月1日-10月29日_x000D_
取消：0707-1029",3,.2.4.6.
110,BK2831/2,738,天津,珠海,三亚,珠海,天津,"执行日期：3月27-10月29 ；_x000D_
取消：5月1日-10月29日",4,1.3.5.7
111,BK2832,738,三亚,珠海,天津,NA,NA,NA,4,1.3.5.7
112,BK2833/4,738,天津,哈尔滨,天津,NA,NA,NA,3,..3.5.7
113,BK2835/6,738,天津,宁波,三亚,宁波,天津,"执行日期：0327-1029_x000D_
取消：0707-1029",1,1......
114,BK2835/6,738,天津,宁波,三亚,宁波,天津,NA,3,..3.5.7
115,BK2837/8,738,天津,包头,天津,NA,NA,执行日期：0327-1029,1,....5..
116,BK2837/8,738,天津,包头,天津,NA,NA,"执行日期：0327-1029_x000D_
取消：0811-1029",3,1.3...7
117,BK2837/8,738,天津,包头,天津,NA,NA,NA,2,.2...6.
118,BK2837/8,738,天津,包头,天津,NA,NA,NA,1,...4...
