,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account
9385,OQ2301,320,重庆,北京首都,NA,NA,NA,执行日期0327-1029执行 与CZ8101 G55161代码共享,7
9386,OQ2302,320,北京首都,重庆,NA,NA,NA,执行日期0327-1029执行 与CZ8102 G55162代码共享,7
9387,OQ2307,320,重庆,上海浦东,NA,NA,NA,执行日期0327-1029执行 与CZ8107 G55165代号共享,7
9388,OQ2308,320,上海浦东,重庆,NA,NA,NA,执行日期0327-1029执行 与CZ8108 G55166代码共享,7
9389,OQ2309,320,重庆,上海浦东,NA,NA,NA,执行日期0327-1029执行 与CZ8109 G55167代号共享,7
9390,OQ2310,320,上海浦东,重庆,NA,NA,NA,执行日期0327-1029执行 与CZ8110 G55168代码共享,7
9391,OQ2339,320,重庆,广州,NA,NA,NA,执行日期0327-1029执行 与CZ8139代码共享,5
9392,OQ2339,320,重庆,广州,NA,NA,NA,执行日期0327-1029执行 与CZ8139代码共享,2
9393,OQ2340,320,广州,重庆,NA,NA,NA,执行日期0327-1029执行 与CZ8140代码共享,7
9394,OQ2355,320,重庆,广州,NA,NA,NA,执行日期0327-1029执行 与CZ8155代码共享,7
9395,OQ2356,320,广州,重庆,NA,NA,NA,执行日期0327-1029执行 与CZ8156代码共享,7
9396,QW9781,320,青岛,北京首都,NA,NA,NA,NA,7
9397,QW9782,320,北京首都,青岛,NA,NA,NA,NA,7
9398,ZH9105,320,广州,武汉,西宁,NA,NA,或739/738/319执行;同CA3483 KY9105代码共享,7
9399,ZH9106,320,西宁,武汉,广州,NA,NA,或739/738/319执行;同CA3484 KY9106代码共享,7
9400,ZH9123,320,广州,宜春,青岛,NA,NA,或739/738/319执行;同CA3602 KY9123代码共享,4
9401,ZH9124,320,青岛,宜春,广州,NA,NA,或739/738/319执行;同CA3603 KY9124代码共享,4
9402,ZH9169,320,广州,西安,银川,NA,NA,或739/738/319执行;同CA3445 KY9169代码共享,7
9403,ZH9170,320,银川,西安,广州,NA,NA,或739/738/319执行;同CA3446 KY9170代码共享,7
9404,ZH9187,320,广州,成都,NA,NA,NA,或739/738/319执行;同CA3391 KY9187代码共享,7
9405,ZH9188,320,成都,广州,NA,NA,NA,或739/738/319执行;同CA3392 KY9188代码共享,7
9406,ZH9251,320,北京首都,泉州,NA,NA,NA,或739/738/319执行;同CA3809 KY9251代码共享,7
