city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
杭州兰州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444
佳木斯三亚,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511
赣州成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,12772
丽江常州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7736
北京南苑通辽,NA,NA,NA,NA,NA,NA,NA,NA,NA,1468
通辽北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1468
丹东上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470
呼伦贝尔哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,12792
济南烟台,NA,NA,NA,NA,NA,NA,NA,NA,NA,7745
洛阳海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,7756
哈尔滨兰州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1481
兰州哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,1481
康定昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,20549
喀什天津,NA,NA,NA,NA,NA,NA,NA,NA,NA,20556
济南晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507
晋江济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507
乌鲁木齐嘉峪关,NA,NA,NA,NA,NA,NA,NA,NA,NA,17700
包头长春,NA,NA,NA,NA,NA,NA,NA,NA,NA,12951
常州太原,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518
太原常州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518
长春温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530
沈阳赤峰,NA,NA,NA,NA,NA,NA,NA,NA,NA,7811
昆明秦皇岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,20609
昆明达州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7824
杭州南京,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557
南京杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557
晋江昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576
昆明晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576
南宁宁波,NA,NA,NA,NA,NA,NA,NA,NA,NA,13061
赣州济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,20649
赣州珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,20652
银川呼和浩特,NA,NA,NA,NA,NA,NA,NA,NA,NA,7851
锦州昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589
昆明锦州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589
北京南苑武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605
武夷山北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605
