"","city1_2","flag","flight","flight_total_account","plane","remarks"
"96","合肥北京首都",17,"CA1845/6",14,"738",NA
"97","北京首都合肥",17,"HU7307",7,"734","或B733/B738执行"
"98","合肥北京首都",17,"HU7308",7,"734","或B733/B738执行"
"99","合肥北京首都",17,"MU5169/70",14,"320",NA
"100","合肥北京首都",17,"MU5171/2",14,"320",NA
"101","合肥北京首都",17,"MU5279",7,"320",NA
"102","北京首都合肥",17,"MU5280",7,"320",NA
"103","三亚合肥",18,"HU7659",3,"738","执行日期0327-0430执行"
"104","三亚合肥",18,"HU7659/60",28,"737",NA
"105","合肥三亚",18,"HU7660",3,"738","执行日期0327-0430执行"
"106","三亚合肥",18,"MU5643/4",8,"320",NA
"107","重庆济南",19,"3U8929/30",14,"319","或321/320执行"
"108","重庆济南",19,"HU7349/50",14,"737",NA
"109","济南重庆",19,"MU5471",7,"319","HD2011[661]_x005F_x000D__x000D_
HD[2011]799"
"110","重庆济南",19,"MU5472",7,"319","HD2011[661]_x005F_x000D__x000D_
HD[2011]799"
"111","重庆济南",19,"PN6711/2",14,"319","或320执行"
"112","重庆济南",19,"SC1193/4",14,"733","或B738执行"
"113","重庆济南",19,"SC1199/1200",14,"733","或B738执行"
"114","重庆济南",19,"SC4761/2",14,"CR2","或B733执行"
"115","济南重庆",19,"SC4943/4",14,"738","或B733执行"
"116","长春南京",20,"CZ6545/6",14,"319","或321/320执行"
"117","南京长春",20,"MU2771",7,"320","或321执行"
"118","长春南京",20,"MU2772",7,"320","或321执行"
"119","南京长春",20,"MU2871/2",8,"ERJ","执行日期0403-1029执行_x005F_x000D__x000D_
HD［2011］1047"
"120","南京长春",20,"ZH9857",7,"738","或319/320执行"
"121","长春南京",20,"ZH9858",7,"738","或319/320执行"
"122","重庆南京",22,"3U8763/4",14,"319",NA
"123","重庆南京",22,"3U8839/40",14,"320","或321/319执行"
"124","重庆南京",22,"3U8921/2",14,"320",NA
"125","重庆南京",22,"8L9913/4",8,"737","或319执行"
"126","重庆南京",22,"CA4545/6",14,"73G",NA
"127","重庆南京",22,"CA4557/8",14,"737",NA
"128","重庆南京",22,"CZ3427/8",14,"320","或319执行"
"129","南京重庆",22,"MU2835",7,"320","或321/EMB执行_x005F_x000D__x000D_
HD2011[661]"
"130","重庆南京",22,"MU2836",7,"320","或321/EMB执行_x005F_x000D__x000D_
HD2011[661]"
"131","南京重庆",22,"MU2845",7,"320","或321/EMB执行_x005F_x000D__x000D_
HD2011[661]_x005F_x000D__x000D_
HD[2011]799_x005F_x000D__x000D_
HD［2011］1047"
"132","重庆南京",22,"MU2846",7,"320","或321/EMB执行_x005F_x000D__x000D_
HD2011[661]_x005F_x000D__x000D_
HD[2011]799_x005F_x000D__x000D_
HD［2011］1047"
"133","重庆南京",22,"MU2855/6",14,"320","或321/EMB执行"
"134","重庆南京",22,"OQ2319/20",14,"319","或A320执行"
"135","重庆南京",22,"OQ2385/6",28,"320",NA
"136","重庆南京",22,"PN6201/2",14,"319","或320执行"
"137","重庆南京",22,"PN6307/8",8,"737","或A319/320执行"
"138","南京重庆",22,"SC4883/4",8,"738","HD[2011]1008"
"139","宁波长沙",23,"GS6503/4",14,"EMB",NA
"140","宁波长沙",23,"HU7355/6",6,"734","或B738执行"
"141","宁波长沙",23,"HU7357",4,"738","或B734执行"
"142","长沙宁波",23,"HU7358",4,"733","或B734执行"
"143","长沙宁波",23,"MF8515/6",14,"738","或B757执行"
"144","长沙宁波",23,"MF8583/4",14,"738","或B757执行"
"145","宁波长沙",23,"MU2395/6",14,"320",NA
"146","长沙宁波",23,"MU5249/50",8,"320","HD[2011]799"
"147","宁波长沙",23,"NS3245/6",14,"320","执行日期：2011年5月1-10月29日"
"148","重庆石家庄",24,"9C8993/4",14,"320","执行日期：0901-1029"
"149","重庆石家庄",24,"MU5793",7,"73G","或733/CR2执行"
"150","石家庄重庆",24,"MU5794",7,"73G","或733/CR2执行"
"151","石家庄重庆",24,"NS3241/2",14,"320","执行日期：5月29-10月29日"
"152","重庆石家庄",24,"ZH9161/2",14,"320",NA
"153","广州舟山",25,"ZH9659",7,"320","或738/733执行"
"154","舟山广州",25,"ZH9660",7,"320","或738/733执行"
"155","南宁合肥",26,"GS6525/6",14,"E90","或ERJ145执行"
"156","南宁合肥",26,"KY8031/2",4,"737",NA
"157","青岛银川",27,"SC4721",7,"733","或B738执行"
"158","银川青岛",27,"SC4722",7,"733","或B738执行"
"159","太原合肥",29,"HU7863",7,"738","或B733执行"
"160","合肥太原",29,"HU7864",7,"738","或B733执行"
"161","昆明重庆",30,"3U8721",3,"ERJ","或321/320/319执行"
"162","重庆昆明",30,"3U8722",3,"ERJ","或321/320/319执行"
"163","昆明重庆",30,"3U8967/8",14,"ERJ","或321/320/319执行"
"164","昆明重庆",30,"8L9913/4",8,"737","或319执行"
"165","昆明重庆",30,"8L9919/20",6,"737","或319执行"
"166","重庆昆明",30,"CZ6403/4",14,"321","或319/M90/320执行"
"167","重庆昆明",30,"CZ6425/6",14,"321",NA
"168","重庆昆明",30,"CZ6459/60",14,"320",NA
"169","重庆昆明",30,"CZ6949/50",14,"73G","或752/ERJ执行"
"170","昆明重庆",30,"KY8027/8",6,"737",NA
"171","重庆昆明",30,"KY8053/4",14,"73G",NA
"172","重庆昆明",30,"MU2975/6",14,"320",NA
"173","重庆昆明",30,"MU2985/6",14,"320",NA
"174","昆明重庆",30,"MU5721",7,"73G","或733/CR2执行"
"175","重庆昆明",30,"MU5722",7,"73G","或733/CR2执行"
"176","昆明重庆",30,"MU5769",5,"320","或73G/733/CR2执行"
"177","重庆昆明",30,"MU5770",5,"320","或73G/733/CR2执行"
"178","昆明重庆",30,"MU5793",7,"73G","或733/CR2执行"
"179","重庆昆明",30,"MU5794",7,"73G","或733/CR2执行"
"180","昆明重庆",30,"MU5829",7,"73G","或733/CR2执行"
"181","重庆昆明",30,"MU5830",7,"73G","或733/CR2执行"
"182","昆明重庆",30,"MU5889/90",14,"73G","或733/CR2执行"
"183","重庆昆明",30,"OQ2327",7,"320",NA
"184","昆明重庆",30,"OQ2328",7,"320",NA
"185","重庆昆明",30,"PN6105/6",14,"319","或B733/A320执行"
"186","乌鲁木齐青岛",31,"CZ6933/4",14,"73G","或752/ERJ执行 执行日期0701-1029执行"
"187","乌鲁木齐青岛",31,"CZ6961/2",14,"73G","或752/ERJ执行"
"188","青岛乌鲁木齐",31,"SC4611/2",14,"738","或B733执行_x005F_x000D__x000D_
HD[2011]616_x005F_x000D__x000D_
HD[2011]826_x005F_x000D__x000D_
HD[2011]1024"
"189","青岛乌鲁木齐",31,"SC4633/4",14,"733",NA
"190","南阳广州",32,"CZ3221/2",14,"ERJ","或320/319执行"
"191","南阳广州",32,"CZ3383/4",14,"ERJ","或320/319执行"
"192","杭州大连",33,"3U8663/4",2,"320","或321/319执行"
"193","杭州大连",33,"3U8943/4",12,"320","或321/319执行"
"194","杭州大连",33,"CA1765/6",6,"319","执行日期0415-1029执行_x005F_x000D__x000D_
HD[2011]639"
"195","大连杭州",33,"CZ6327/8",14,"321","或319执行"
"196","大连杭州",33,"CZ6527/8",14,"319","或321执行"
"197","大连杭州",33,"CZ6709/10",14,"319","或321执行"
"198","杭州大连",33,"MF8025/6",14,"738","或B757执行"
"199","杭州大连",33,"MU2399/400",14,"320","执行日期0420-1029执行_x005F_x000D__x000D_
HD2011[661]_x005F_x000D__x000D_
HD[2011]799"
"200","重庆武汉",34,"3U8795/6",14,"ERJ","或321/320/319执行"
"201","重庆武汉",34,"CZ3437/8",14,"738","或319/320执行"
"202","重庆武汉",34,"CZ3445/6",14,"73G","或738执行"
"203","武汉重庆",34,"MF8483/4",14,"738","或B757执行"
"204","武汉重庆",34,"MU2919/20",14,"EMB","HD[2011]717"
"205","重庆武汉",34,"OQ2385/6",14,"320",NA
"206","重庆武汉",34,"OQ2389/90",14,"320",NA
"207","重庆武汉",34,"PN6301/2",14,"319","或320执行"
"208","武汉重庆",34,"SC4639/40",14,"733","或B738执行"
"209","满洲里北京首都",35,"CA1241/2",14,"733",NA
"210","北京首都满洲里",35,"HU7115",5,"738","或B734/B733执行"
"211","满洲里北京首都",35,"HU7116",5,"738","或B734/B733执行"
"212","北京首都满洲里",35,"HU7133",4,"738","或B734/B733执行 执行日期0430-1029执行"
"213","满洲里北京首都",35,"HU7134",4,"738","或B734/B733执行"
"214","满洲里北京南苑",35,"KN2935/6",14,"73G","或738执行"
"215","重庆上海浦东",36,"3U8971/2",14,"320","或330/321/319执行"
"216","重庆上海浦东",36,"3U8973/4",14,"320","或330/321/319执行"
"217","重庆上海浦东",36,"3U8975/6",14,"320","或330/321/319执行"
"218","重庆上海浦东",36,"9C8867/8",14,"320",NA
"219","重庆上海浦东",36,"9C8897/8",14,"320",NA
"220","重庆上海浦东",36,"9C8995/6",14,"320",NA
"221","重庆上海浦东",36,"CA1941/2",14,"319",NA
"222","重庆上海浦东",36,"CA4541/2",14,"738",NA
"223","上海虹桥重庆",36,"FM9267/8",8,"73G","或B752/B738/CR2执行"
"224","上海浦东重庆",36,"FM9469",7,"738","或B763/B752/B73G执行"
"225","重庆上海浦东",36,"FM9470",7,"738","或B763/B752/B73G执行"
"226","重庆上海虹桥",36,"FM9545/6",14,"752","或B763/B738/B73G执行"
"227","重庆上海虹桥",36,"FM9547/8",14,"738","或B763/B752/B73G执行"
"228","上海虹桥重庆",36,"HO1245",7,"320",NA
"229","重庆上海浦东",36,"HO1246",7,"320",NA
"230","重庆上海浦东",36,"HO1247/8",14,"319","或A320执行"
"231","上海浦东重庆",36,"MU5419",7,"AB6",NA
"232","重庆上海浦东",36,"MU5420",7,"321",NA
"233","重庆上海浦东",36,"MU5421/2",14,"320",NA
"234","上海虹桥重庆",36,"MU5423",7,"321",NA
"235","重庆上海浦东",36,"MU5424",7,"320",NA
"236","重庆上海浦东",36,"MU5425/6",14,"320",NA
"237","上海浦东重庆",36,"MU5427",7,"321",NA
"238","重庆上海虹桥",36,"MU5428",7,"321",NA
"239","重庆上海浦东",36,"MU5451/2",14,"320",NA
"240","重庆上海浦东",36,"OQ2307/8",14,"319","或A320执行"
"241","郑州北海",39,"CZ6347/8",6,"738",NA
"242","长沙温州",40,"CA4577/8",14,"752",NA
"243","长沙温州",40,"CZ6955/6",14,"73G","或752/ERJ执行"
"244","长沙温州",40,"EU2227/8",14,"319","或A320执行"
"245","福州沈阳",41,"MF8029/30",14,"738","或B757执行"
"246","福州沈阳",41,"MF8061/2",14,"738","或B757执行"
"247","鄂尔多斯哈尔滨",42,"MU5837/8",14,"737",NA
"248","榆林北京首都",43,"GS7547/8",14,"E90","或ERJ145执行"
"249","榆林北京南苑",43,"KN2913/4",14,"73G",NA
"250","榆林北京南苑",43,"KN2915/6",14,"73G",NA
"251","沈阳银川",44,"CZ6663/4",14,"320",NA
"252","厦门杭州",45,"MF8125/6",14,"738","或B757执行"
"253","厦门杭州",45,"MF8145/6",14,"738","或B757执行"
"254","杭州厦门",45,"MF8309/10",14,"738","或B757执行"
"255","杭州厦门",45,"MF8375/6",14,"738","或B757执行"
"256","厦门杭州",45,"MF8525/6",14,"738","或B757执行"
"257","杭州厦门",45,"MU2369/70",14,"733",NA
"258","厦门杭州",45,"MU2667/8",14,"73G","或EMB执行"
"259","杭州厦门",45,"SC4683/4",14,"737","或B738执行"
"260","厦门杭州",45,"SC4885/6",14,"738",NA
"261","厦门杭州",45,"SC4973",2,"738","或B733执行"
"262","厦门杭州",45,"SC4973/4",10,"737","或B738执行"
"263","杭州厦门",45,"SC4974",2,"738","或B733执行"
"264","临沧昆明",46,"MU5961/2",14,"733","或73G执行"
"265","临沧昆明",46,"MU5963/4",14,"73G","或733执行"
"266","重庆西宁",47,"3U8821",7,"320","或321/319执行"
"267","西宁重庆",47,"3U8822",7,"320","或321/319执行"
"268","成都银川",48,"3U8855/6",14,"320","或321/319执行"
"269","银川成都",48,"CA4231/2",14,"319",NA
"270","长沙深圳",49,"CZ3389/90",14,"320","或321执行"
"271","长沙深圳",49,"CZ3743/4",14,"M90","或320/319执行"
"272","长沙深圳",49,"CZ3987/8",14,"321",NA
"273","长沙深圳",49,"CZ6889/90",14,"73G","或752/772/AB6执行"
"274","深圳长沙",49,"HU7185",7,"738","或B734/B733执行"
"275","长沙深圳",49,"HU7186",7,"738","或B734/B733执行"
"276","长沙深圳",49,"ZH9937/8",14,"738","或319/320执行"
"277","深圳长沙",49,"ZH9977",7,"738","或319/320执行"
"278","长沙深圳",49,"ZH9978",7,"738","或319/320执行"
"279","天津兰州",50,"GS6687/8",14,"ERJ","或E90执行  "
"280","银川北京首都",52,"CA1213/4",14,"738",NA
"281","银川北京首都",52,"CA1217/8",14,"73G",NA
"282","银川北京首都",52,"CA1219/20",14,"738",NA
"283","银川北京首都",52,"CA1263/4",14,"738",NA
"284","北京首都银川",52,"CA1469",7,"737",NA
"285","银川北京首都",52,"CA1470",7,"737",NA
"286","银川北京首都",52,"CZ6117/8",14,"321","或333/332执行"
"287","北京首都银川",52,"HU7233",7,"738","或B734/B733执行"
"288","银川北京首都",52,"HU7234",7,"738","或B734/B733执行"
"289","银川北京首都",52,"MU2121",7,"320",NA
"290","北京首都银川",52,"MU2122",7,"320",NA
"291","银川北京首都",52,"MU2123",7,"320",NA
"292","北京首都银川",52,"MU2124",7,"320",NA
"293","银川北京首都",52,"SC1195/6",14,"738","或B733执行."
"294","上海虹桥包头",53,"FM9135/6",14,"738","或B752/B73G/CR2执行"
"295","上海虹桥包头",53,"FM9437/8",14,"738","或B752/B73G/CR2执行"
"296","上海浦东包头",53,"HO1257",7,"320",NA
"297","包头上海浦东",53,"HO1258",7,"320",NA
"298","上海浦东包头",53,"HO1259/60",14,"320","执行日期0625-1029执行"
"299","海口杭州",54,"CZ6665/6",14,"733","或321/320执行"
"300","海口杭州",54,"GS7521/2",8,"E90","或ERJ145执行"
"301","杭州海口",54,"GS7567/8",6,"E90","或ERJ145执行"
"302","海口杭州",54,"HU7053",1,"738","或B734/B733执行"
"303","杭州海口",54,"HU7054",1,"738","或B734/B733执行"
"304","海口杭州",54,"HU7061",4,"733","或B734/B738执行"
"305","杭州海口",54,"HU7062",4,"733","或B734/B738执行"
"306","南京揭阳",55,"MU2711",4,"ERJ",NA
"307","揭阳南京",55,"MU2712",4,"ERJ",NA
"308","南京揭阳",55,"MU2721/2",8,"ERJ",NA
"309","深圳南阳",56,"CZ3919/20",14,"ERJ","或320/319执行"
"310","上海浦东成都",57,"3U8961/2",14,"320","或330/321/319执行"
"311","上海浦东成都",57,"3U8963/4",14,"321","或330/320/319执行"
"312","上海浦东成都",57,"3U8965/6",14,"321","或330/320/319执行"
"313","上海浦东成都",57,"CA1491",1,"343",NA
"314","成都上海浦东",57,"CA1492",1,"343",NA
"315","上海浦东成都",57,"CA1945/6",14,"319",NA
"316","上海浦东成都",57,"CA1947/8",14,"320",NA
"317","上海浦东成都",57,"CA1949/50",14,"320",NA
"318","上海浦东成都",57,"CA4501/2",14,"752",NA
"319","成都上海浦东",57,"CA4503",4,"319",NA
"320","上海浦东成都",57,"CA4504",7,"319",NA
"321","成都上海浦东",57,"CA4513",7,"319",NA
"322","上海浦东成都",57,"CA4514",4,"319",NA
"323","上海浦东成都",57,"CA4515/6",6,"733",NA
"324","上海虹桥成都",57,"FM9265/6",6,"73G","或B752/B738/CR2执行"
"325","上海虹桥成都",57,"FM9465/6",14,"738","或B763/B752/B73G执行"
"326","上海虹桥成都",57,"FM9541/2",14,"752","或B763/B738/B73G执行"
"327","上海虹桥成都",57,"FM9543/4",14,"752","或B763/B738/B73G执行"
"328","上海虹桥成都",57,"HO1119/20",14,"320",NA
"329","上海浦东成都",57,"MU5401",7,"320",NA
"330","成都上海浦东",57,"MU5402",7,"738",NA
"331","上海浦东成都",57,"MU5403",7,"333",NA
"332","成都上海浦东",57,"MU5406",7,"AB6",NA
"333","上海浦东成都",57,"MU5407",7,"320",NA
"334","成都上海浦东",57,"MU5408",7,"320",NA
"335","成都上海浦东",57,"MU5410",7,"320",NA
"336","上海浦东成都",57,"MU5411",7,"321",NA
"337","上海浦东成都",57,"MU5413",7,"73G",NA
"338","成都上海浦东",57,"MU5414",7,"321",NA
"339","上海浦东成都",57,"MU5415",7,"73G",NA
"340","成都上海浦东",57,"MU5416",7,"73G",NA
"341","锡林浩特呼和浩特",58,"CA1399/400",14,"733",NA
"342","锡林浩特呼和浩特",58,"GS6427/8",14,"EMB","执行日期：0801-1029_x005F_x000D__x000D_
取消：1001-1029"
"343","锡林浩特呼和浩特",58,"GS6429/30",14,"EMB","执行日期：0801-1029"
"344","锡林浩特呼和浩特",58,"GS6491/2",14,"ERJ","或E90执行 _x005F_x000D__x000D_
；执行日期：3月27-10月29日；临时取消：5月10-5月31日_x005F_x000D__x000D_
取消：0811-1029"
"345","锡林浩特呼和浩特",58,"GS6493/4",14,"ERJ","执行日期0501-1029；临时取消：5月10-5月31日 每日"
"346","锡林浩特呼和浩特",58,"GS6551/2",14,"ERJ","或E90执行"
"347","锡林浩特呼和浩特",58,"GS7413/4",14,"ERJ","或E90执行"
"348","呼和浩特锡林浩特",58,"MU3193",7,"ERJ",NA
"349","锡林浩特呼和浩特",58,"MU3194",7,"ERJ",NA
"350","锡林浩特呼和浩特",58,"MU3407/8",14,"ERJ","执行日期0518-1029执行 _x005F_x000D__x000D_
取消：0601-0630_x005F_x000D__x000D_
取消：0701-0731_x005F_x000D__x000D_
取消：0801-0831_x005F_x000D__x000D_
取消：0901-0930_x005F_x000D__x000D_
取消：1001-1029"
"351","北京首都鞍山",59,"CZ6113/4",14,"319","执行日期0701-1029执行"
"352","延安西安",60,"GS7435/6",14,"E90","或ERJ145执行"
"353","延安西安",60,"JR1501/2",14,"MA6",NA
"354","延安西安",60,"JR1509/10",14,"MA6",NA
"355","深圳济南",61,"CZ6487/8",14,"320",NA
"356","深圳济南",61,"HU7359",7,"738",NA
"357","济南深圳",61,"HU7360",7,"738",NA
"358","深圳济南",61,"HU7715",7,"738",NA
"359","济南深圳",61,"HU7716",7,"738",NA
"360","深圳济南",61,"SC1181/2",14,"733","或B738执行"
"361","深圳济南",61,"SC1187/8",14,"733","或B738执行"
"362","深圳济南",61,"SC1189/90",14,"733","或B738执行"
"363","深圳济南",61,"ZH9927",7,"738","或319/320执行"
"364","济南深圳",61,"ZH9928",7,"738","或319/320执行"
"365","深圳济南",61,"ZH9939",7,"738","或319/320执行"
"366","济南深圳",61,"ZH9940",7,"738","或319/320执行"
"367","上海浦东南宁",63,"9C8911/2",14,"320",NA
"368","上海虹桥南宁",63,"CZ3261/2",14,"738","或73G执行"
"369","上海浦东南宁",63,"CZ3289/90",14,"738","或73G执行"
"370","上海虹桥南宁",63,"FM9339/40",14,"738","或B752/B73G执行"
"371","上海虹桥南宁",63,"HO1171/2",14,"320",NA
"372","上海虹桥南宁",63,"MU5281/2",14,"320",NA
"373","上海虹桥南宁",63,"MU5369/70",14,"321",NA
"374","上海虹桥南宁",63,"MU5397/8",14,"320",NA
"375","上海虹桥南宁",63,"ZH9561/2",14,"73G","或738/A320执行"
"376","上海虹桥南宁",63,"ZH9577/8",8,"738","或73G/A320执行"
"377","天津桂林",64,"BK2819/20",14,"738",NA
"378","杭州青岛",67,"CA1787/8",14,"319",NA
"379","杭州青岛",67,"CZ3265/6",14,"738","或73G执行"
"380","青岛杭州",67,"CZ6527/8",14,"319","或321执行"
"381","青岛杭州",67,"CZ6709/10",14,"319","或321执行"
"382","杭州青岛",67,"MF8525/6",14,"738","或B757执行"
"383","杭州青岛",67,"MU5271",7,"320","HD［2011］1047"
"384","青岛杭州",67,"MU5272",7,"320","HD［2011］1047"
"385","青岛杭州",67,"SC4683/4",14,"737","或B738执行"
"386","青岛杭州",67,"SC4689/90",14,"737","或B738执行 执行日期0701-1029执行_x005F_x000D__x000D_
HD[2011]1024"
"387","青岛杭州",67,"SC4773/4",14,"737","或B738执行_x005F_x000D__x000D_
HD[2011]826_x005F_x000D__x000D_
"
"388","青岛杭州",67,"SC4775/6",8,"737","或B738执行_x005F_x000D__x000D_
HD[2011]616"
"389","宜宾北京首都",68,"CA1459/60",14,"738",NA
"390","宜宾北京首都",68,"MU5703/4",6,"73G","或733执行"
"391","西宁成都",69,"3U8519/20",8,"319",NA
"392","西宁成都",69,"3U8987/8",14,"320","或321/319执行"
"393","成都西宁",69,"CA4205",7,"320",NA
"394","西宁成都",69,"CA4206",7,"319",NA
"395","西宁成都",69,"CA4211/2",14,"319",NA
"396","西宁成都",69,"TV9817/8",14,"319",NA
"397","深圳洛阳",70,"CZ6511/2",6,"320",NA
"398","西安南昌",71,"HU7649",2,"738",NA
"399","南昌西安",71,"HU7650",2,"738",NA
"400","南昌西安",71,"MF8207/8",14,"752","或B737执行"
"401","西安南昌",71,"MU2281",7,"320",NA
"402","南昌西安",71,"MU2282",7,"320",NA
"403","南昌西安",71,"MU5583",7,"320",NA
"404","西安南昌",71,"MU5584",7,"320",NA
"405","南昌西安",71,"SC4781/2",14,"733","HD[2011] 615"
"406","锡林浩特北京首都",72,"CA1109/10",14,"733",NA
"407","锡林浩特北京南苑",72,"KN2265/6",14,"738","执行日期：6月6-10月29日"
"408","黄山厦门",73,"JD5287/8",28,"319","或320执行 旅游包机"
"409","景德镇北京首都",74,"CA1887/8",14,"733",NA
"410","杭州揭阳",76,"GS7567/8",6,"E90","或ERJ145执行"
"411","揭阳杭州",76,"MU2785/6",10,"ERJ",NA
"412","成都济宁",79,"EU2709/10",8,"319","或A320执行"
"413","成都北海",203,"EU2715/6",8,"319","或A320执行"
