"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"15285","乌兰浩特海拉尔","KN2287","738","乌兰浩特","海拉尔",NA,NA,NA,"待航线走向批复后执行",3,NA
"15286","乌兰浩特海拉尔","KN2287","738","乌兰浩特","海拉尔",NA,NA,NA,"待航线走向批复后执行",4,NA
"15621","乌鲁木齐牡丹江","MU2800","320","乌鲁木齐","牡丹江",NA,NA,NA,"执行日期0701-1029执行 待航路走向批复后执行",7,NA
"15622","乌鲁木齐那拉提","CZ6897","E90","乌鲁木齐","那拉提",NA,NA,NA,"执行日期0501-1029执行 或73G执行 与MF4425 MU4631代码共享",2,NA
"15623","乌鲁木齐那拉提","CZ6897","E90","乌鲁木齐","那拉提",NA,NA,NA,"或73G执行 与MF4425 MU4631代码共享",4,NA
"15624","乌鲁木齐那拉提","CZ6897","E90","乌鲁木齐","那拉提",NA,NA,NA,"执行日期0501-1029执行 或73G执行 与MF4425 MU4631代码共享",1,NA
"15625","乌鲁木齐那拉提","GS7529","E90","乌鲁木齐","那拉提",NA,NA,NA,"或320/EM4执行",3,NA
"15626","乌鲁木齐那拉提","CZ6891/2","EMB","乌鲁木齐","那拉提","乌鲁木齐",NA,NA,"执行日期7.1-9.30",7,NA
"15627","乌鲁木齐那拉提","GS7529","E90","乌鲁木齐","那拉提",NA,NA,NA,"或320/EM4执行",4,NA
"15725","乌鲁木齐吐鲁番","CZ6475/6","738","乌鲁木齐","吐鲁番","上海虹桥","吐鲁番","乌鲁木齐","B73G/B752执行",3,NA
"15726","乌鲁木齐吐鲁番","CZ6475/6","738","乌鲁木齐","吐鲁番",NA,NA,NA,"B73G/B752执行",3,NA
"15924","无锡海拉尔","MU7847/8","320","无锡","海拉尔","无锡",NA,NA,NA,3,NA
"15964","无锡铜仁","MU2949/50","320","无锡","铜仁",NA,NA,NA,NA,7,NA
"15965","无锡铜仁","MU2949/50","320","无锡","铜仁",NA,NA,NA,NA,7,NA
"15983","无锡张掖","MU7839/40","320","无锡","张掖","无锡",NA,NA,NA,2,NA
"16006","梧州杭州","G52779/80","CR9","梧州","杭州",NA,NA,NA,NA,3,NA
"16007","梧州杭州","G52873","CR9","梧州","杭州",NA,NA,NA,NA,3,NA
"16008","梧州杭州","G52779/80","CR9","梧州","杭州",NA,NA,NA,NA,3,NA
"16153","武汉揭阳","CZ6627","738","武汉","揭阳",NA,NA,NA,"与MF4215 MU4815代码共享",4,NA
"16154","武汉揭阳","MU2457","738","武汉","揭阳","珠海",NA,NA,"执行日期0410-1029执行",7,NA
"16155","武汉揭阳","MU2615","320","武汉","揭阳",NA,NA,NA,"执行日期0410-1029执行",2,NA
"16156","武汉揭阳","MU2615","320","武汉","揭阳",NA,NA,NA,"执行日期0410-1029执行",1,NA
"16157","武汉揭阳","CZ3890","738","武汉","揭阳",NA,NA,NA,"与MF1684 MU4746代码共享",1,NA
