"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"122","白山延吉","BK3003","MA6","白山","延吉",NA,NA,NA,"待航路走向批复后执行",7,21579
"123","白山长春","CZ6155","319","白山","长春","上海浦东",NA,NA,"或320/321执行 与MF1830 MU4759代码共享 待航路走向批复后执行",2,18947
"124","白山长春","CZ6155","319","白山","长春","上海浦东",NA,NA,"或320/321执行 与MF1830 MU4759代码共享 待航路走向批复后执行",5,18947
"125","白山长春","BK2753","MA6","白山","长春",NA,NA,NA,"待航路走向批复后执行",7,18947
"126","百色广州","HU7758","737","百色","广州",NA,NA,NA,"待航路走向批复后执行 或738执行",3,17232
"127","百色桂林","G52727","CR9","百色","桂林",NA,NA,NA,"待航线走向批复后执行",4,21338
"128","百色上海浦东","MU5494","319","百色","上海浦东",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,21637
"129","百色上海浦东","MU5494","319","百色","上海浦东",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,21637
"130","百色上海浦东","MU5494","319","百色","上海浦东",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,21637
"131","百色深圳","BK2860","737","百色","深圳","天津",NA,NA,"待航路走向批复后执行",2,19271
"132","百色天津","BK2860","737","百色","天津",NA,NA,NA,"待航路走向批复后执行",2,19272
"133","百色重庆","MU5494","319","百色","重庆","上海浦东",NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,17236
"134","百色重庆","G52728","CR9","百色","重庆",NA,NA,NA,"待航线走向批复后执行",4,17236
"135","百色重庆","MU5494","319","百色","重庆","上海浦东",NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,17236
"136","百色重庆","MU5494","319","百色","重庆","上海浦东",NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,17236
"137","包头北京南苑","KN2906","738","包头","北京南苑",NA,NA,NA,"待航线走向批复后执行",7,6705
"138","包头北京南苑","KN2908","738","包头","北京南苑",NA,NA,NA,"待航线走向批复后执行",7,6705
"139","包头北京南苑","KN2902","738","包头","北京南苑",NA,NA,NA,"待航线走向批复后执行",7,6705
"140","包头北京首都","CA1144","738","包头","北京首都",NA,NA,NA,NA,1,6705
"141","包头北京首都","JD5118","319","包头","北京首都",NA,NA,NA,"或320/321/330执行",7,6705
"142","包头北京首都","CA1136","737","包头","北京首都",NA,NA,NA,NA,7,6705
"143","包头北京首都","HU7126","738","包头","北京首都",NA,NA,NA,NA,5,6705
"144","包头北京首都","CA1108","738","包头","北京首都",NA,NA,NA,NA,7,6705
"145","包头北京首都","CA1122","738","包头","北京首都",NA,NA,NA,NA,7,6705
"146","包头北京首都","CA1144","738","包头","北京首都",NA,NA,NA,NA,1,6705
"147","包头成都","CZ6455","319","包头","成都",NA,NA,NA,"与MF4075 G55122代码共享 或321/320执行",4,10301
"148","包头赤峰","G52845","CR9","包头","赤峰",NA,NA,NA,"待航线走向批复后执行",4,8343
"149","包头赤峰","G52845","CR9","包头","赤峰",NA,NA,NA,"待航线走向批复后执行",4,8343
"150","包头赤峰","G52845","CR9","包头","赤峰",NA,NA,NA,"待航线走向批复后执行",3,8343
"151","包头赤峰","G52845","CR9","包头","赤峰",NA,NA,NA,"待航线走向批复后执行",3,8343
"152","包头大连","CZ6527/8","320","包头","大连",NA,NA,NA,NA,4,8115
"153","包头大连","G52761","CR9","包头","大连",NA,NA,NA,NA,3,8115
"154","包头大连","CZ6527/8","320","包头","大连",NA,NA,NA,NA,3,8115
"155","包头大连","CA8916","738","包头","大连",NA,NA,NA,NA,3,8115
"156","包头广州","CZ3196","738","包头","广州",NA,NA,NA,"与MF1078 G55004 MU4676代码共享 执行日期0406-1029执行",4,6586
"157","包头广州","ZH9758","320","包头","广州",NA,NA,NA,"或739/738/319执行;同CA3564 KY9758代码共享",4,6586
"158","包头广州","CZ3196","738","包头","广州",NA,NA,NA,"与MF1078 G55004 MU4676代码共享 执行日期0406-1029执行",3,6586
"159","包头贵阳","NS3323","E90","包头","贵阳",NA,NA,NA,"或738/73G执行;同MF7079、CZ9884代码共享",7,24287
"160","包头哈尔滨","MU5779","738","包头","哈尔滨",NA,NA,NA,"执行日期0327-1029执行 或73G执行",7,24284
"161","包头杭州","HU7156","738","包头","杭州",NA,NA,NA,NA,7,7392
"162","包头杭州","CA1780","319","包头","杭州",NA,NA,NA,NA,7,7392
"163","包头济南","SC4904","738","包头","济南",NA,NA,NA,"或737执行;与CA4904代码共享",7,9813
"164","包头昆明","MU5780","738","包头","昆明",NA,NA,NA,"执行日期0327-1029执行 或73G执行",7,9586
"165","包头丽江","EU2240","319","包头","丽江",NA,NA,NA,"或A320执行",7,NA
"166","包头洛阳","CZ6764","320","包头","洛阳","深圳",NA,NA,"与MF4308 G55152 MU4824代码共享 或321/320/319执行",3,9302
"167","包头南京","MU2892","320","包头","南京","厦门",NA,NA,"执行日期0327-1029执行",4,9829
"168","包头南京","MU7805/6","320","包头","南京",NA,NA,NA,NA,1,9829
"169","包头南京","MU2892","320","包头","南京","厦门",NA,NA,"执行日期0327-1029执行",3,9829
"170","包头青岛","SC4644","CR7","包头","青岛",NA,NA,NA,"或737、738执行;与CA4644代码共享",3,24282
