flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,city1_2
CZ6423/4,319,大连,西安,NA,NA,NA,或321执行,5,大连西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,5,青岛西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,5,青岛西安
CZ6423/4,319,大连,青岛,NA,NA,NA,或321执行,1,大连青岛
CZ6423/4,319,大连,西安,NA,NA,NA,或321执行,1,大连西安
CZ6423/4,319,大连,西安,NA,NA,NA,或321执行,1,大连西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,1,青岛西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,1,青岛西安
CZ6423/4,319,大连,青岛,NA,NA,NA,或321执行,1,大连青岛
CZ6423/4,319,大连,西安,NA,NA,NA,或321执行,1,大连西安
CZ6423/4,319,大连,西安,NA,NA,NA,或321执行,1,大连西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,1,青岛西安
CZ6423/4,319,青岛,西安,NA,NA,NA,或321执行,1,青岛西安
CZ6427/8,319,大连,郑州,NA,NA,NA,或321执行 执行日期0327-0714执行,4,大连郑州
CZ6427/8,319,大连,昆明,NA,NA,NA,或321执行 执行日期0327-0714执行,4,大连昆明
CZ6427/8,319,大连,昆明,NA,NA,NA,或321执行 执行日期0327-0714执行,4,大连昆明
CZ6427/8,319,郑州,昆明,NA,NA,NA,或321执行 执行日期0327-0714执行,4,郑州昆明
CZ6427/8,319,郑州,昆明,NA,NA,NA,或321执行 执行日期0327-0714执行,4,郑州昆明
CZ6429/30,319,大连,合肥,NA,NA,NA,或321执行,2,大连合肥
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行,2,大连贵阳
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行,2,大连贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行,2,合肥贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行,2,合肥贵阳
CZ6429/30,319,大连,合肥,NA,NA,NA,或321执行 执行日期0801-0820执行,1,大连合肥
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,1,大连贵阳
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,1,大连贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,1,合肥贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,1,合肥贵阳
CZ6429/30,319,大连,合肥,NA,NA,NA,或321执行,1,大连合肥
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行,1,大连贵阳
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行,1,大连贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行,1,合肥贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行,1,合肥贵阳
CZ6429/30,319,大连,合肥,NA,NA,NA,或321执行 执行日期0801-0820执行,2,大连合肥
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,2,大连贵阳
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,2,大连贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,2,合肥贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0801-0820执行,2,合肥贵阳
CZ6429/30,319,大连,合肥,NA,NA,NA,或321执行 执行日期0720-0820执行,1,大连合肥
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0720-0820执行,1,大连贵阳
CZ6429/30,319,大连,贵阳,NA,NA,NA,或321执行 执行日期0720-0820执行,1,大连贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0720-0820执行,1,合肥贵阳
CZ6429/30,319,合肥,贵阳,NA,NA,NA,或321执行 执行日期0720-0820执行,1,合肥贵阳
CZ6433/4,319,大连,西安,NA,NA,NA,或321执行,7,大连西安
CZ6433/4,319,大连,成都,NA,NA,NA,或321执行,7,大连成都
CZ6433/4,319,大连,成都,NA,NA,NA,或321执行,7,大连成都
CZ6433/4,319,西安,成都,NA,NA,NA,或321执行,7,西安成都
CZ6433/4,319,西安,成都,NA,NA,NA,或321执行,7,西安成都
CZ6435/6,319,大连,济南,NA,NA,NA,或321执行,3,大连济南
CZ6435/6,319,大连,成都,NA,NA,NA,或321执行,3,大连成都
CZ6435/6,319,大连,成都,NA,NA,NA,或321执行,3,大连成都
CZ6435/6,319,济南,成都,NA,NA,NA,或321执行,3,济南成都
CZ6435/6,319,济南,成都,NA,NA,NA,或321执行,3,济南成都
CZ6435/6,319,大连,济南,NA,NA,NA,或321执行,4,大连济南
CZ6435/6,319,大连,成都,NA,NA,NA,或321执行,4,大连成都
CZ6435/6,319,大连,成都,NA,NA,NA,或321执行,4,大连成都
