hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1123.31,1089.828,1065.14,23.75331032,31.04413344,99.73622509,85.33918894,2.918449245,1.759204837,3.491023313,2.958568899,1004.623843,1065.14,1125.656157,0.980615451,-1
1117.07,1095.006,1069.5455,23.45178041,31.88019522,78.72983871,80.48758786,3.059277284,2.02912393,3.568959231,3.154808907,1007.399559,1069.5455,1131.691441,0.882362058,-2
1093.93,1098.836,1072.861,19.01424448,30.71738371,40.62059238,69.80476889,3.041047815,2.27652683,3.309615265,3.26721769,1012.981796,1072.861,1132.740204,0.675929191,2
1118.61,1104.588,1077.5905,14.48857389,30.07688385,60.41498248,73.22796935,3.033033424,2.489360926,3.103305808,3.327623352,1018.95986,1077.5905,1136.22114,0.849812827,1
1124.41,1109.097,1081.928,12.6508586,30.26992821,54.98007968,73.32469834,3.141002232,2.673295304,2.969487275,3.288478178,1022.921047,1081.928,1140.934953,0.859974527,1
1131.28,1113.288,1086.454,12.3274047,30.55644017,55.97182676,72.87348354,3.27415688,2.836220637,2.910411827,3.172355881,1026.888532,1086.454,1146.019468,0.876275061,1
1138.24,1117.115,1090.9825,13.60742465,31.21038084,65.693106,79.18050159,3.287579946,2.964664445,2.749454866,3.008455008,1030.142267,1090.9825,1151.822733,0.888373761,-1
1134.38,1120.229,1095.2745,13.64246919,30.96791336,91.98671372,76.18435155,3.247183966,3.066431578,2.491201977,2.844772351,1034.906923,1095.2745,1155.642077,0.823894897,2
1149.16,1124.83,1100.6025,14.93940055,30.59283884,89.91377058,75.58241758,3.180259769,3.131332285,2.411568728,2.706424935,1040.966078,1100.6025,1160.238922,0.907112789,-1
1142.7,1127.309,1105.202,15.70091041,29.59582467,73.49088107,70.06244827,3.049998625,3.145948882,2.615759705,2.635679421,1047.509117,1105.202,1162.894883,0.824979424,-1
1141.93,1129.171,1109.4995,16.26782267,28.28344736,66.2199208,67.04582385,2.967730419,3.135777008,2.518555181,2.557308091,1054.364911,1109.4995,1164.634089,0.794103036,2
1155.73,1133.037,1114.0215,17.61080858,28.07220395,72.04436602,69.64299079,2.840283369,3.113469848,2.504048877,2.508226894,1059.2987,1114.0215,1168.7443,0.881088872,-1
1155.27,1139.171,1119.0035,12.38257956,25.92335774,78.7979046,69.45066428,2.69599354,3.076020972,2.353950253,2.480776549,1068.469573,1119.0035,1169.537427,0.858833183,2
1172.35,1144.545,1124.5665,14.02080617,24.75280447,80.06222453,69.97065297,2.670407477,3.023732666,2.280936064,2.454650016,1076.314401,1124.5665,1172.818599,0.995144264,2
1218.44,1153.948,1131.5225,25.69075874,30.29555706,98.42710997,76.87439968,2.978134134,2.990841249,2.713442666,2.474186608,1072.465587,1131.5225,1190.579413,1.235879136,2
1251.61,1165.981,1139.6345,38.75311155,38.91061166,99.5840868,82.98842683,3.256508616,2.98738888,3.266567357,2.623789043,1063.783754,1139.6345,1215.485246,1.238130513,2
1265.93,1178.75,1147.9325,48.42634591,46.88553978,99.58603312,94.079959,3.561988739,3.022367188,4.053654225,2.933710113,1056.535757,1147.9325,1239.329243,1.145523551,-1
1255.04,1190.816,1155.5225,51.10075281,51.34468556,91.04072398,87.62340742,3.804015914,3.091673426,4.768560172,3.416632097,1055.433282,1155.5225,1255.611718,0.997143957,2
1296.26,1205.526,1165.178,58.42464876,58.61958067,92.52522479,89.64610345,4.114317503,3.209931079,5.623346819,4.085114248,1050.907401,1165.178,1279.448599,1.073559606,2
1352.16,1226.472,1176.8905,69.83156781,70.81227997,92.99678457,91.55629139,4.674579065,3.399580929,6.962129685,4.934851652,1038.851954,1176.8905,1314.929046,1.134857093,-2
