date,open,cp
2008-9-25,2143.73,2223.53
2008-9-26,2234.46,2243.66
2008-10-6,2206.56,2128.7
2008-10-7,2043.92,2102.45
2008-10-8,2041.99,2022.88
2008-10-9,2059.58,1995.3
2008-10-10,1913.27,1906.96
2008-10-13,1889.75,1985.49
2008-10-14,2054.41,1934.62
2008-10-15,1911.03,1914.36
2008-10-16,1833.48,1820.9
2008-10-17,1837.91,1833.26
2008-10-20,1828.41,1896.73
2008-10-21,1901.24,1881.41
2008-10-22,1854.6,1833.32
2008-10-23,1794.68,1834.78
2008-10-24,1831.46,1781.6
2008-10-27,1746.67,1654.67
2008-10-28,1614.62,1705.82
2008-10-29,1723.23,1658.22
2008-10-30,1669.97,1697.66
2008-10-31,1688.09,1663.66
2008-11-3,1648.56,1653.54
2008-11-4,1646.2,1627.76
2008-11-5,1641.26,1691.42
2008-11-6,1648.13,1649.78
2008-11-7,1618.75,1677.83
2008-11-10,1714.12,1801.67
2008-11-11,1795.3,1781.36
2008-11-12,1758.48,1801.82
2008-11-13,1777.03,1874.08
2008-11-14,1893.31,1943.65
2008-11-17,1934.74,1987.22
2008-11-18,1974.38,1839.82
2008-11-19,1831.6,1953.16
2008-11-20,1916.7,1932.43
2008-11-21,1872.27,1920.73
2008-11-24,1913.99,1837.64
2008-11-25,1870.06,1834.29
2008-11-26,1832.11,1843.49
2008-11-27,1961.89,1870.47
2008-11-28,1851.1,1829.92
2008-12-1,1823.77,1864.2
2008-12-2,1821.54,1868.63
2008-12-3,1884.6,1952.67
2008-12-4,1980.44,1982.93
2008-12-5,1969.74,2013.18
2008-12-8,2040.47,2095.04
2008-12-9,2104.12,2040.85
2008-12-10,2028.51,2096.39
2008-12-11,2087.43,2046.34
2008-12-12,2027.07,1960.38
2008-12-15,1991.55,1975.03
2008-12-16,1956.99,1994.45
2008-12-17,2002.03,2001.42
2008-12-18,2001.05,2045.1
2008-12-19,2037.37,2052.11
2008-12-22,2050.77,2017.55
2008-12-23,2019.23,1918.95
2008-12-24,1893.22,1887.07
2008-12-25,1891.53,1870.77
2008-12-26,1868.34,1862.1
2008-12-29,1852.41,1854.76
2008-12-30,1852.95,1833.44
2008-12-31,1835.1,1817.72
2009-1-5,1848.33,1882.96
2009-1-6,1880.67,1942.8
2009-1-7,1942.67,1931.18
2009-1-8,1894.66,1887.99
2009-1-9,1886.49,1918.36
2009-1-12,1911.74,1920.69
2009-1-13,1892.66,1876.19
2009-1-14,1873.63,1955.24
2009-1-15,1935.39,1954.87
2009-1-16,1965.44,1990.21
2009-1-19,2010.58,2012.46
2009-1-20,2006.53,2025.19
2009-1-21,1993.67,2021.71
2009-1-22,2034.29,2044.55
2009-1-23,2039.52,2032.68
2009-2-2,2052.44,2057.06
2009-2-3,2056.79,2108.91
2009-2-4,2118.56,2166.41
2009-2-5,2164.55,2150.97
2009-2-6,2158.08,2237.28
2009-2-9,2271.59,2296.67
2009-2-10,2288.07,2326.75
2009-2-11,2287.23,2331.14
2009-2-12,2335.4,2318.34
2009-2-13,2321.56,2399.06
2009-2-16,2421.19,2462.25
2009-2-17,2460.57,2385.29
2009-2-18,2331.66,2275.84
2009-2-19,2295.65,2298.41
2009-2-20,2300.81,2344.32
2009-2-23,2333.81,2410.48
2009-2-24,2376.7,2301.85
2009-2-25,2325.04,2304.25
2009-2-26,2295.43,2190.19
2009-2-27,2164.54,2140.49
2009-3-2,2123.37,2164.67
2009-3-3,2109.84,2142.15
2009-3-4,2150.24,2285.15
2009-3-5,2314.08,2304.92
2009-3-6,2260.76,2286.58
2009-3-9,2302.01,2202.53
2009-3-10,2175.31,2240.78
2009-3-11,2288.05,2220.38
2009-3-12,2208.04,2215.7
2009-3-13,2229.25,2205.42
2009-3-16,2197.25,2241.61
2009-3-17,2244.11,2322.4
2009-3-18,2335.42,2332.65
2009-3-19,2337.52,2382.56
2009-3-20,2389.89,2379.84
2009-3-23,2384.67,2439.4
2009-3-24,2477.57,2451.78
2009-3-25,2435.63,2401.33
2009-3-26,2407.76,2479.79
2009-3-27,2501,2498.93
2009-3-30,2501.31,2484.49
2009-3-31,2436.78,2507.79
2009-4-1,2519.89,2548.22
2009-4-2,2558.77,2576.4
2009-4-3,2597.92,2570.5
2009-4-7,2570.62,2576.95
2009-4-8,2563.72,2479.35
2009-4-9,2477.42,2517.67
2009-4-10,2540.11,2595.53
2009-4-13,2621.98,2656.52
2009-4-14,2651.2,2676.87
2009-4-15,2662.73,2686.99
2009-4-16,2690.51,2687.11
2009-4-17,2675.67,2650.69
2009-4-20,2643.73,2707.67
2009-4-21,2670.28,2675.44
2009-4-22,2687.86,2576.28
2009-4-23,2555.53,2593.56
2009-4-24,2605.7,2572.89
2009-4-27,2566.92,2513.29
2009-4-28,2490.53,2518.53
2009-4-29,2518.85,2605.37
2009-4-30,2616.49,2622.93
2009-5-4,2635.13,2714.3
2009-5-5,2733.11,2727.01
2009-5-6,2721.82,2764.98
2009-5-7,2783.58,2767.08
2009-5-8,2751.5,2789.22
2009-5-11,2808.14,2725.32
2009-5-12,2702.74,2788.56
2009-5-13,2792.42,2814
2009-5-14,2781.05,2792.6
2009-5-15,2800.57,2796.12
2009-5-18,2782.58,2810.57
2009-5-19,2836.34,2840.08
2009-5-20,2843.54,2812.86
2009-5-21,2795.83,2750.01
2009-5-22,2733.02,2740.68
2009-5-25,2684.21,2752.72
2009-5-26,2757.31,2719.76
2009-5-27,2734.42,2759.71
2009-6-1,2798.93,2858.34
2009-6-2,2878.53,2865.1
2009-6-3,2865.73,2939.39
2009-6-4,2924.27,2953.75
2009-6-5,2966.06,2939.31
2009-6-8,2937.64,2948.48
2009-6-9,2948.95,2960.56
2009-6-10,2972.42,2989.59
2009-6-11,2982.97,2961.63
2009-6-12,2955.57,2906.29
2009-6-15,2911.42,2966.19
2009-6-16,2936.51,2961.22
2009-6-17,2957.58,3010.59
2009-6-18,3014.44,3057.43
2009-6-19,3061.9,3080
2009-6-22,3106.39,3082.56
2009-6-23,3036.4,3083.9
2009-6-24,3079.5,3120.73
2009-6-25,3125.66,3117.92
2009-6-26,3126.23,3128.42
2009-6-29,3132.11,3179.97
2009-6-30,3191.64,3166.47
2009-7-1,3153.54,3237.9
2009-7-2,3248.2,3282.36
2009-7-3,3254.93,3327.14
2009-7-6,3333.1,3374.75
2009-7-7,3368.33,3340.49
2009-7-8,3306.43,3352.27
2009-7-9,3348.22,3396.3
2009-7-10,3398.91,3398.31
2009-7-13,3382.57,3361.01
2009-7-14,3375.87,3454.75
2009-7-15,3467.13,3493.3
2009-7-16,3516.78,3501.24
2009-7-17,3499.51,3519.81
2009-7-20,3532.52,3591.12
2009-7-21,3603.4,3539.83
2009-7-22,3532.63,3606.92
2009-7-23,3613.6,3651.97
2009-7-24,3672.21,3667.56
2009-7-27,3680.15,3743.63
2009-7-28,3745.55,3755.82
2009-7-29,3741.78,3558.51
2009-7-30,3587.05,3634.82
2009-7-31,3670.19,3734.62
2009-8-3,3754.22,3787.03
2009-8-4,3803.06,3786.61
2009-8-5,3781.4,3740.94
2009-8-6,3707.91,3663.12
2009-8-7,3655.46,3555.09
2009-8-10,3589.72,3544.54
2009-8-11,3558.65,3556.38
2009-8-12,3546.5,3397.4
2009-8-13,3398.89,3440.82
2009-8-14,3437.95,3344.46
2009-8-17,3283.44,3140.27
2009-8-18,3110.71,3171.99
2009-8-19,3178.28,3014.57
2009-8-20,3021.25,3144.39
2009-8-21,3135.37,3203.62
2009-8-24,3222.4,3229.6
2009-8-25,3210.85,3109.83
2009-8-26,3082.68,3172.39
2009-8-27,3149.57,3156.3
2009-8-28,3152.04,3046.78
2009-8-31,3003.54,2830.27
2009-9-1,2804.58,2843.7
2009-9-2,2824.64,2890.93
2009-9-3,2898.45,3051.96
2009-9-4,3055.35,3077.14
2009-9-7,3097.79,3104.21
2009-9-8,3084.2,3170.97
2009-9-9,3188.31,3194.91
2009-9-10,3179.19,3162.91
2009-9-11,3152.81,3238.13
2009-9-14,3248.35,3293.39
2009-9-15,3298.81,3302.64
2009-9-16,3290.39,3258.24
2009-9-17,3274.58,3320.1
2009-9-18,3325.06,3199.69
2009-9-21,3163.51,3208.6
2009-9-22,3196.01,3131.03
2009-9-23,3130.14,3060.07
2009-9-24,3041.82,3080.93
2009-9-25,3057.11,3058.53
2009-9-28,3066.37,2972.64
2009-9-29,2975.53,2972.29
2009-9-30,2992.98,3004.8
2009-10-9,3078.75,3163.71
2009-10-12,3181.58,3151.63
2009-10-13,3144.02,3198.52
2009-10-14,3209.06,3227.4
2009-10-15,3258.55,3239.64
2009-10-16,3250.1,3241.71
2009-10-19,3238.85,3329.16
2009-10-20,3355.36,3377.57
2009-10-21,3375.03,3369.28
2009-10-22,3364.15,3347.32
2009-10-23,3354.98,3413.25
2009-10-26,3421.7,3414.24
2009-10-27,3384.29,3314.72
2009-10-28,3303.77,3329.33
2009-10-29,3265.19,3247.05
2009-10-30,3305.38,3280.37
2009-11-2,3205.83,3392.8
2009-11-3,3402.53,3435.43
2009-11-4,3443.52,3453.89
2009-11-5,3458.86,3464.32
2009-11-6,3491.07,3483.02
2009-11-9,3487.11,3495.79
2009-11-10,3520.4,3503.78
2009-11-11,3500.59,3495.67
2009-11-12,3506.95,3499.99
2009-11-13,3489.54,3518.72
2009-11-16,3541.05,3625.8
2009-11-17,3644.96,3628.35
2009-11-18,3633.85,3630.23
2009-11-19,3638.07,3642.44
2009-11-20,3630.58,3631.01
2009-11-23,3636.53,3665.51
2009-11-24,3680.75,3548.08
2009-11-25,3541.51,3629.63
2009-11-26,3635.79,3485.77
2009-11-27,3440.34,3382.51
2009-11-30,3415.08,3511.67
2009-12-1,3507.56,3560.83
2009-12-2,3578.87,3597.33
2009-12-3,3596.95,3590.88
2009-12-4,3581.63,3643.49
2009-12-7,3644.62,3668.83
2009-12-8,3670.81,3624.02
2009-12-9,3579.28,3554.48
2009-12-10,3579.83,3577.24
2009-12-11,3589.41,3575.02
2009-12-14,3572.53,3612.75
2009-12-15,3594.51,3583.34
2009-12-16,3568.28,3560.72
2009-12-17,3571.05,3480.15
2009-12-18,3450.04,3391.74
2009-12-21,3386.33,3396.62
2009-12-22,3402.23,3305.54
2009-12-23,3303.73,3336.48
2009-12-24,3346.76,3438.82
2009-12-25,3434.326,3424.783
2009-12-28,3432.82,3478.433
2009-12-29,3481.903,3500.737
2009-12-30,3503.816,3558.857
2009-12-31,3561.367,3575.684
2010-1-4,3592.468,3535.229
2010-1-5,3545.186,3564.038
2010-1-6,3558.7,3541.727
2010-1-7,3543.16,3471.456
2010-1-8,3456.908,3480.13
2010-1-11,3593.106,3482.052
2010-1-12,3477.842,3534.916
2010-1-13,3448.291,3421.144
2010-1-14,3433.472,3469.051
2010-1-15,3472.524,3482.738
2010-1-18,3471.777,3500.684
2010-1-19,3506.806,3507.482
2010-1-20,3512.246,3394.434
2010-1-21,3397.043,3408.574
2010-1-22,3364.452,3366.197
2010-1-25,3340.013,3328.014
2010-1-26,3328.113,3242.797
2010-1-27,3243.038,3198.566
2010-1-28,3195.289,3206.57
2010-1-29,3190.315,3204.155
2010-2-1,3198.23,3152.707
2010-2-2,3170.778,3146.189
2010-2-3,3160.712,3230.715
2010-2-4,3206.431,3218.802
2010-2-5,3147.721,3153.087
2010-2-8,3152.253,3150.988
2010-2-9,3147.761,3169.19
2010-2-10,3195.142,3214.13
2010-2-11,3216.688,3220.398
2010-2-12,3232.879,3251.278
2010-2-22,3248.947,3233.345
2010-2-23,3225.393,3198.634
2010-2-24,3177.082,3244.483
2010-2-25,3252.153,3292.128
2010-2-26,3286.095,3281.666
2010-3-1,3290.007,3324.423
2010-3-2,3327.103,3311.236
2010-3-3,3313.023,3335.081
2010-3-4,3338.674,3250.573
2010-3-5,3253.164,3259.764
