date,op,cp
2012-03-22,2586.94,2583.75
2012-03-23,2575.33,2552.94
2012-03-26,2551.43,2555.44
2012-03-27,2565.55,2547.14
2012-03-28,2538.46,2474.9
2012-03-29,2463.69,2443.12
2012-03-30,2447.94,2454.9
2012-04-05,2449.21,2512.83
2012-04-06,2509.45,2519.83
2012-04-09,2510.53,2495.15
2012-04-10,2490.28,2519.79
2012-04-11,2494.52,2520.04
2012-04-12,2522.83,2570.44
2012-04-13,2575.05,2580.45
2012-04-16,2564.23,2574.04
2012-04-17,2572.36,2541.88
2012-04-18,2550.91,2599.91
2012-04-19,2598.33,2596.06
2012-04-20,2591.51,2626.84
2012-04-23,2624.75,2606.04
2012-04-24,2594.8,2604.87
2012-04-25,2598.23,2625.99
2012-04-26,2632.72,2631.49
2012-04-27,2630.55,2626.16
2012-05-02,2660.67,2683.49
2012-05-03,2679.52,2691.52
2012-05-04,2689.62,2715.88
2012-05-07,2699.45,2717.78
2012-05-08,2717.41,2709.12
2012-05-09,2685.19,2657.51
2012-05-10,2657.87,2657.21
2012-05-11,2652.31,2636.92
2012-05-14,2653.81,2615.53
2012-05-15,2597.64,2617.37
2012-05-16,2610.16,2574.65
2012-05-17,2577.96,2613.94
2012-05-18,2595.55,2573.98
2012-05-21,2572.37,2587.23
2012-05-22,2598.17,2627.53
2012-05-23,2621.79,2616.87
2012-05-24,2613.1,2595.26
2012-05-25,2595.26,2573.1
2012-05-28,2562.6,2614.69
2012-05-29,2615.15,2650.85
2012-05-30,2646.37,2642.26
2012-05-31,2623.16,2632.04
2012-06-01,2633.6,2633
2012-06-04,2598.73,2559.03
2012-06-05,2565.19,2558.84
2012-06-06,2564.23,2557.4
2012-06-07,2579.43,2542.18
2012-06-08,2558.84,2524.33
2012-06-11,2529.6,2558.26
2012-06-12,2543.76,2540.18
2012-06-13,2546.79,2580.64
2012-06-14,2573.33,2560.42
2012-06-15,2565.19,2568.05
2012-06-18,2576.63,2581.21
2012-06-19,2577.36,2558.62
2012-06-20,2563.64,2552.61
2012-06-21,2547.05,2512.19
2012-06-25,2501.16,2456.52
2012-06-26,2442.56,2454.92
2012-06-27,2452.67,2447.2
2012-06-28,2451.66,2425.73
2012-06-29,2418.86,2461.61
2012-07-02,2473.55,2465.24
2012-07-03,2464.85,2468.72
2012-07-04,2474.53,2464.92
2012-07-05,2450.3,2430.37
2012-07-06,2435.06,2472.61
2012-07-09,2455.89,2416.04
2012-07-10,2411,2406.71
2012-07-11,2402.18,2425.57
2012-07-12,2420.04,2449.18
2012-07-13,2441.01,2450.63
2012-07-16,2452.6,2399.73
2012-07-17,2391.9,2414.2
2012-07-18,2412.06,2414.34
2012-07-19,2407.44,2424.32
2012-07-20,2415.71,2398.46
2012-07-23,2379.89,2365.43
2012-07-24,2353.22,2375.99
2012-07-25,2368.38,2360.08
2012-07-26,2360.13,2347.49
2012-07-27,2353.94,2349.11
2012-07-30,2350.78,2335.79
2012-07-31,2336.88,2332.92
2012-08-01,2332.13,2358.65
2012-08-02,2354.07,2334.88
2012-08-03,2340.25,2353.74
2012-08-06,2350.12,2385.61
2012-08-07,2383.26,2388.87
2012-08-08,2390.96,2389.8
2012-08-09,2388.43,2411.7
2012-08-10,2409.94,2399.75
2012-08-13,2394.5,2351.93
2012-08-14,2352.66,2357.02
2012-08-15,2350.02,2331.62
2012-08-16,2327.91,2319.67
2012-08-17,2318.43,2313.48
2012-08-20,2294.9,2301.79
2012-08-21,2301.93,2313.7
2012-08-22,2315.14,2295.59
2012-08-23,2298.18,2302.2
2012-08-24,2295.68,2275.68
2012-08-27,2268.49,2228.2
2012-08-28,2226.9,2238.41
2012-08-29,2230.2,2214.81
2012-08-30,2204.51,2211.37
2012-08-31,2205.57,2204.87
2012-09-03,2201.12,2228.37
2012-09-04,2231.72,2204.41
2012-09-05,2199.74,2199.88
2012-09-06,2204.44,2217.82
2012-09-07,2233.91,2317.18
2012-09-10,2320.56,2326.67
2012-09-11,2316.53,2311.89
2012-09-12,2325.93,2320.07
2012-09-13,2316.68,2298.46
2012-09-14,2324.01,2315.54
2012-09-17,2312.06,2258.71
2012-09-18,2249.43,2235.24
2012-09-19,2237.22,2246.24
2012-09-20,2236.19,2195.95
2012-09-21,2190.33,2199.06
2012-09-24,2183.97,2215.52
2012-09-25,2209.98,2210.15
2012-09-26,2208.91,2184.89
2012-09-27,2186,2251.72
2012-09-28,2235.06,2293.11
2012-10-08,2291.96,2270.05
2012-10-09,2281.75,2320.16
2012-10-10,2314.59,2324.12
2012-10-11,2315.9,2302.53
2012-10-12,2311.28,2304.53
2012-10-15,2306.01,2294.86
2012-10-16,2293.24,2298.16
2012-10-17,2307.36,2300.8
2012-10-18,2307.49,2336.08
2012-10-19,2335.11,2332.47
2012-10-22,2320.47,2341.59
2012-10-23,2340.89,2312.08
2012-10-24,2303.4,2307.78
2012-10-25,2306.73,2291.24
2012-10-26,2291.31,2247.91
2012-10-29,2241.8,2235.85
2012-10-30,2236.32,2239.88
2012-10-31,2241.43,2254.82
2012-11-01,2256.61,2297.88
