"","flight_num","plane_num","city1","city2","city3","city4","city5"
"77","CA1684","733","呼和浩特","北京首都",NA,NA,NA
"78","CA1685","733","北京首都","呼和浩特",NA,NA,NA
"79","CA1686","733","呼和浩特","北京首都",NA,NA,NA
"80","CZ6637/8","733","呼和浩特","北京首都","呼和浩特",NA,NA
"81","MU2369/70","733","太原","杭州","厦门","杭州","太原"
"82","HU7371","734","太原","北京首都",NA,NA,NA
"83","HU7372","734","北京首都","太原",NA,NA,NA
"84","HU7372","734","北京首都","太原",NA,NA,NA
"85","HU7617","734","北京首都","乌海",NA,NA,NA
"86","HU7618","734","乌海","北京首都",NA,NA,NA
"87","HU7618","734","乌海","北京首都",NA,NA,NA
"88","BK2811/2","735","天津","长沙","昆明","长沙","天津"
"89","BK2811/2","735","天津","长沙","昆明","长沙","天津"
"90","BK2825/6","735","天津","杭州","天津",NA,NA
"91","BK2847/8","735","天津","合肥","昆明","合肥","天津"
"92","BK2847/8","735","天津","合肥","昆明","合肥","天津"
"93","CA1125/6","737","北京首都","呼和浩特","北京首都",NA,NA
"94","HU7667/8","737","太原","北京首都","太原",NA,NA
"95","MU2133/4","737","太原","北京首都","太原",NA,NA
"100","MU5651/2","737","太原","无锡","厦门","无锡","太原"
"101","ZH9819/20","737","石家庄","包头","石家庄",NA,NA
"102","BK2801/2","738","天津","威海","天津",NA,NA
"103","BK2803/4","738","天津","成都","天津",NA,NA
"104","BK2813/4","738","天津","张家界","天津",NA,NA
"105","BK2815/6","738","天津","延吉","天津",NA,NA
"106","BK2817/8","738","天津","海拉尔","天津",NA,NA
"107","BK2819/20","738","天津","桂林","天津",NA,NA
"108","BK2823/4","738","天津","西安","南宁","西安","天津"
"109","BK2831/2","738","天津","珠海","三亚","珠海","天津"
"110","BK2831/2","738","天津","珠海","三亚","珠海","天津"
"111","BK2832","738","三亚","珠海","天津",NA,NA
"112","BK2833/4","738","天津","哈尔滨","天津",NA,NA
"113","BK2835/6","738","天津","宁波","三亚","宁波","天津"
"114","BK2835/6","738","天津","宁波","三亚","宁波","天津"
"115","BK2837/8","738","天津","包头","天津",NA,NA
"116","BK2837/8","738","天津","包头","天津",NA,NA
"117","BK2837/8","738","天津","包头","天津",NA,NA
"118","BK2837/8","738","天津","包头","天津",NA,NA
"119","BK2851/2","738","天津","成都","天津",NA,NA
"120","BK2853/4","738","天津","太原","重庆","太原","天津"
"121","BK2857","738","天津","南京","泉州",NA,NA
"122","BK2858","738","泉州","南京","天津",NA,NA
"123","BK2871","738","天津","郑州","贵阳",NA,NA
"124","BK2872","738","贵阳","郑州","天津",NA,NA
"125","BK2879/80","738","天津","榆林","昆明","榆林","天津"
"126","CA1105/6","738","北京首都","呼和浩特","北京首都",NA,NA
"127","CA1107/8","738","北京首都","包头","北京首都",NA,NA
"128","CA1111/2","738","北京首都","呼和浩特","北京首都",NA,NA
"129","CA1115/6","738","北京首都","呼和浩特","北京首都",NA,NA
"130","CA1121","738","北京首都","包头",NA,NA,NA
"131","CA1121","738","北京首都","包头",NA,NA,NA
"132","CA1121/2","738","北京首都","包头","北京首都",NA,NA
"133","CA1122","738","包头","北京首都",NA,NA,NA
"134","CA1122","738","包头","北京首都",NA,NA,NA
"135","CA1135/6","738","北京首都","包头","北京首都",NA,NA
"136","CA1141/2","738","北京首都","包头","北京首都",NA,NA
"137","CA1143/4","738","北京首都","鄂尔多斯","北京首都",NA,NA
"138","CA1145/6","738","北京首都","太原","北京首都",NA,NA
"139","CA1145/6","738","北京首都","太原","北京首都",NA,NA
"140","CA1149/50","738","北京首都","鄂尔多斯","北京首都",NA,NA
