"","city1_2","flag","flight_num","plane_num","plane_no_num"
"350","长沙海口",687,"JD5209/10","319",2
"351","海口长沙",687,"JD5639/40","319",2
"352","长沙海口",687,"MU2293","73G",1
"353","杭州长春",703,"CZ6629/30","321",2
"354","杭州长春",703,"MF8053/4","738",2
"355","广州赣州",798,"CZ3637/8","ERJ",2
"356","广州赣州",798,"CZ6929/30","ERJ",2
"357","广州广元",806,"CA1421/2","73G",2
"358","贵阳福州",868,"EU2731/2","319",4
"359","贵阳福州",868,"G52677/8","CR2",2
"360","福州贵阳",868,"MF8421/2","752",4
"361","福州贵阳",868,"MF8421/2","757",2
"362","长沙济南",877,"CZ3791/2","73G",2
"363","长沙济南",877,"HU7105/6","737",2
"364","长沙济南",877,"HU7227","738",2
"365","济南长沙",877,"HU7228","738",1
"366","长沙济南",877,"MF8051/2","738",2
"367","长沙济南",877,"MF8571/2","738",4
"368","长沙济南",877,"SC4893/4","CR2",4
"369","长沙济南",877,"SC4917/8","733",4
"370","长春昆明",910,"CZ6459/60","319",4
"371","长春昆明",910,"CZ6459/60","320",2
"372","昆明长春",910,"KY8023/4","737",2
"373","成都呼和浩特",911,"3U8723/4","319",2
"374","呼和浩特成都",911,"CA1447/8","733",10
"375","呼和浩特成都",911,"ZH9409/10","737",2
"376","贵阳广州",921,"CA4331/2","73G",2
"377","贵阳广州",921,"CA4359/60","733",4
"378","贵阳广州",921,"CZ3411/2","738",2
"379","贵阳广州",921,"CZ3421/2","319",2
"380","贵阳广州",921,"CZ3661/2","73G",2
"381","贵阳广州",921,"CZ3691/2","738",2
"382","贵阳广州",921,"CZ6295/6","73G",2
"383","广州贵阳",921,"HU7171","734",1
"384","贵阳广州",921,"HU7172","734",1
"385","广州贵阳",921,"HU7271","738",1
"386","贵阳广州",921,"HU7272","738",1
"387","广州贵阳",921,"HU7713","738",2
"388","贵阳广州",921,"HU7714","738",1
"389","贵阳广州",921,"ZH9629/30","320",4
"390","贵阳广州",921,"ZH9631/2","320",8
"391","大连哈尔滨",934,"3U8943/4","320",2
"392","大连哈尔滨",934,"CA8203/4","320",2
"393","大连哈尔滨",934,"CZ3603/4","319",2
"394","哈尔滨大连",934,"CZ6261/2","320",2
"395","大连哈尔滨",934,"HU7695","738",1
"396","哈尔滨大连",934,"HU7696","738",1
"397","大连哈尔滨",934,"SC4825/6","733",4
"398","大连哈尔滨",934,"SC4827/8","CR2",2
"399","大连哈尔滨",934,"ZH9383","320",1
"400","哈尔滨大连",934,"ZH9384","320",1
"401","福州杭州",951,"MF8053/4","738",2
"402","福州济南",1094,"MF8041/2","73G",2
"403","福州济南",1094,"MF8571/2","738",4
"404","济南福州",1094,"SC4613/4","738",2
"405","济南福州",1094,"SC4841/2","737",4
"406","济南福州",1094,"SC4991/2","CR2",2
"407","福州济南",1094,"ZH9471","738",1
"408","济南福州",1094,"ZH9472","738",1
"409","长沙南京",1104,"BK2889/90","738",2
"410","长沙南京",1104,"CZ3655/6","73G",2
"411","长沙南京",1104,"CZ3659/60","320",2
"412","南京长沙",1104,"CZ3759/6","321",4
"413","南京长沙",1104,"CZ3759/60","319",2
"414","南京长沙",1104,"CZ3759/60","321",4
"415","长沙南京",1104,"CZ3985/6","320",2
"416","南京长沙",1104,"EU2726/5","319",2
"417","南京长沙",1104,"EU6826/5","320",2
"418","长沙南京",1104,"MF8021/2","738",2
"419","南京长沙",1104,"MU2705","320",1
"420","长沙南京",1104,"MU2706","320",1
"421","南京长沙",1104,"MU2715","320",1
"422","长沙南京",1104,"MU2716","320",1
"423","南京长沙",1104,"MU2725","320",1
"424","长沙南京",1104,"MU2726","320",1
"425","南京长沙",1104,"ZH9203/4","737",2
"426","哈尔滨贵阳",1142,"3U8503/4","319",2
"427","哈尔滨贵阳",1142,"3U8909/10","319",2
"428","贵阳哈尔滨",1142,"G52721","CR2",1
"429","哈尔滨贵阳",1142,"G52722","CR2",1
"430","长沙南宁",1146,"CA1763/4","319",2
"431","南宁长沙",1146,"CZ3773/4","733",2
"432","南宁长沙",1146,"CZ3773/4","738",4
"433","南宁长沙",1146,"EU2227/8","319",6
"434","长沙南宁",1146,"GS6503/4","EMB",4
"435","长沙南宁",1146,"HU7397","738",5
"436","南宁长沙",1146,"HU7398","738",3
"437","长沙南宁",1146,"SC4603/4","733",2
"438","长沙南宁",1146,"ZH9203/4","737",2
"439","南宁长沙",1146,"ZH9587/8","737",2
"440","重庆南昌",1187,"3U8959/60","320",2
"441","南昌重庆",1187,"MF8485/6","738",4
"442","重庆南昌",1187,"MF8495/6","738",2
"443","长沙青岛",1204,"CZ3937/8","320",2
"444","长沙青岛",1204,"CZ3983","320",2
"445","青岛长沙",1204,"CZ3984","320",2
"446","长沙青岛",1204,"MF8515/6","738",2
"447","长沙青岛",1204,"MF8583/4","738",2
"448","长沙青岛",1204,"MU3205","ERJ",1
"449","青岛长沙",1204,"MU3206","ERJ",1
"450","青岛长沙",1204,"MU5437","320",2
"451","长沙青岛",1204,"MU5438","320",2
"452","青岛长沙",1204,"SC4603/4","733",2
"453","青岛长沙",1204,"SC4705/6","733",2
"454","长沙青岛",1204,"ZH9587/8","737",2
"455","海口合肥",1210,"CZ3837/8","733",4
"456","海口合肥",1210,"HU7689","734",1
"457","合肥海口",1210,"HU7690","738",1
"458","昆明广州",1219,"CZ3407/8","319",2
"459","昆明广州",1219,"CZ3409/10","319",2
