,city1_2,flag,flight,flight__num,plane
3603,天津深圳,12208,CA1371/2,6,738
3604,天津深圳,12208,CZ3721/2,4,319
3605,天津深圳,12208,HU7203,1,738
3606,深圳天津,12208,HU7204,1,734
3607,天津深圳,12208,MF8379/80,2,738
3608,深圳天津,12208,ZH9729,1,320
3609,天津深圳,12208,ZH9730,1,320
3610,天津深圳,12208,ZH9783/4,2,320
3611,深圳天津,12208,ZH9935,1,738
3612,天津深圳,12208,ZH9936,1,738
3613,泉州广州,12210,MF8321/2,4,73G
3614,泉州广州,12210,MF8381,1,73G
3615,广州泉州,12210,MF8382,1,73G
3616,泉州广州,12210,MF8385/6,2,73G
3617,泉州广州,12210,ZH9547/8,4,320
3618,广州泉州,12210,ZH9659,1,320
3619,泉州广州,12210,ZH9660,1,320
3620,石家庄温州,12211,NS3205/6,2,738
3621,成都柳州,12214,EU2201/2,4,319
3622,三亚温州,12226,3U8825/6,2,320
3623,温州三亚,12226,NS3205/6,2,738
3624,温州三亚,12226,ZH9491/2,2,320
3625,深圳成都,12233,3U8701/2,2,319
3626,深圳成都,12233,3U8703/4,2,319
3627,深圳成都,12233,3U8705/6,2,321
3628,深圳成都,12233,CA4311/2,2,321
3629,深圳成都,12233,CA4313/4,2,319
3630,深圳成都,12233,CA4329/30,2,733
3631,深圳成都,12233,CA4337/8,2,757
3632,深圳成都,12233,CA4389/90,2,319
3633,深圳成都,12233,CZ3433/4,2,319
3634,深圳成都,12233,CZ3453/4,4,321
3635,深圳成都,12233,CZ3457/8,4,320
3636,成都深圳,12233,EU2201/2,4,319
3637,深圳成都,12233,EU2217/8,4,319
3638,深圳成都,12233,HU7327,1,738
3639,成都深圳,12233,HU7328,1,738
3640,深圳成都,12233,HU7751,1,738
3641,成都深圳,12233,HU7752,1,738
3642,深圳成都,12233,ZH9823,2,739
3643,成都深圳,12233,ZH9824,1,739
3644,深圳成都,12233,ZH9923/4,2,320
3645,深圳成都,12233,ZH9973/4,2,320
3646,黎平贵阳,12341,G52605/6,4,CR2
3647,黎平贵阳,12341,GS6471/2,2,ERJ
3648,西安厦门,12342,HU7851,1,738
3649,厦门西安,12342,HU7852,1,738
3650,西安厦门,12342,JD5287/8,4,319
3651,厦门西安,12342,MF8207/8,2,752
3652,厦门西安,12342,MF8217/8,4,752
3653,厦门西安,12342,MF8233/4,4,73G
3654,西安厦门,12342,MU2281,1,320
3655,厦门西安,12342,MU2282,1,320
3656,厦门西安,12342,SC4781/2,2,733
3657,厦门西安,12342,SC4807/8,2,738
3658,乌鲁木齐深圳,12345,CZ6889/90,2,73G
3659,乌鲁木齐深圳,12345,HU7743,1,738
3660,深圳乌鲁木齐,12345,HU7744,1,738
3661,深圳乌鲁木齐,12345,HU7744/3,2,738
3662,乌鲁木齐深圳,12345,ZH9843/4,2,738
3663,厦门三亚,12349,MF8309/10,2,738
3664,厦门三亚,12349,SC4793,1,733
3665,三亚厦门,12349,SC4794,3,733
3666,无锡长沙,12354,MU2965,2,320
3667,无锡长沙,12354,MU2965/6,2,320
3668,长沙无锡,12354,MU2966,1,320
3669,重庆迪庆,12399,OQ2329/30,2,319
3670,赤峰大连,12424,GS7469/70,2,ERJ
3671,昆明天津,12452,8L9975/6,2,73G
3672,天津昆明,12452,BK2811/2,4,735
3673,天津昆明,12452,BK2847/8,4,735
3674,天津昆明,12452,BK2879/80,2,738
3675,天津昆明,12452,CA1401/2,2,738
3676,天津昆明,12452,CA1467/8,6,73G
3677,天津昆明,12452,FM9287/8,2,738
3678,昆明天津,12452,KY8023/4,2,737
3679,南昌太原,12495,CZ6297/8,6,733
3680,太原南昌,12495,GS6497/8,4,ERJ
3681,昆明长沙,12519,8L9973,2,73G
3682,长沙昆明,12519,8L9974,2,73G
3683,昆明长沙,12519,8L9979,1,73G
3684,长沙昆明,12519,8L9980,2,73G
3685,长沙昆明,12519,BK2811/2,4,735
3686,长沙昆明,12519,CA1467/8,6,73G
3687,长沙昆明,12519,CZ3467/8,2,320
3688,长沙昆明,12519,CZ3867/8,2,733
3689,长沙昆明,12519,MU2705,1,320
3690,昆明长沙,12519,MU2706,1,320
3691,长沙昆明,12519,MU2715,1,320
3692,昆明长沙,12519,MU2716,1,320
3693,长沙昆明,12519,MU2725,1,320
3694,昆明长沙,12519,MU2726,1,320
3695,长沙昆明,12519,MU5437,2,320
